Latitude,Longitude,Year,Month,Day,displacement,count
-35.36007,150.8489,2010,9,19,88.76134647539429,24
-35.36007,150.8489,2010,9,20,-57.482478009607185,24
-35.36007,150.8489,2010,9,21,288.16015546914207,24
-35.36007,150.8489,2010,9,22,347.99093509906936,24
-35.36007,150.8489,2010,9,23,-112.78848134672317,24
-35.36007,150.8489,2010,9,24,-320.9218268550768,24
-35.36007,150.8489,2010,9,25,-98.56502844315509,24
-35.36007,150.8489,2010,9,26,-187.81003595688105,24
-35.36007,150.8489,2010,9,27,-357.8264368719839,24
-35.36007,150.8489,2010,9,28,289.58568274001397,24
-35.36007,150.8489,2010,9,29,293.59497818934136,24
-35.36007,150.8489,2010,9,30,13.717518001628257,24
-35.36007,150.8489,2010,10,1,-41.228921537252766,24
-35.36007,150.8489,2010,10,2,79.83270914935235,24
-35.36007,150.8489,2010,10,3,255.2457490184707,24
-34.13333,151.2333,1990,4,19,-55.64329327174138,24
-34.13333,151.2333,1990,4,20,-194.98858399948702,24
-34.13333,151.2333,1990,4,21,-434.91627881711327,24
-34.13333,151.2333,1990,4,22,-136.02330306973147,24
-34.13333,151.2333,1990,4,23,-101.346079413562,24
-34.13333,151.2333,1990,4,24,-381.2903611920977,24
-34.13333,151.2333,1990,4,25,-401.97005256128864,24
-34.13333,151.2333,1990,4,26,-312.79823059941555,24
-34.13333,151.2333,1990,4,27,-230.70631528417255,24
-34.13333,151.2333,1990,4,28,-307.6179663204426,24
-34.13333,151.2333,1990,4,29,-250.0082090902217,24
-34.13333,151.2333,1990,4,30,-205.49548366113794,24
-34.13333,151.2333,1990,5,1,-253.38110843648147,24
-34.13333,151.2333,1990,5,2,-159.21357706552553,24
-34.13333,151.2333,1990,5,3,-107.42684417837573,24
-34.13333,151.2333,1990,8,23,-174.34071243544906,24
-34.13333,151.2333,1990,8,24,-122.72262451561261,24
-34.13333,151.2333,1990,8,25,54.217766000869155,24
-34.13333,151.2333,1990,8,26,309.2216845001737,24
-34.13333,151.2333,1990,8,27,174.21979717586652,24
-34.13333,151.2333,1990,8,28,-107.42048021734476,24
-34.13333,151.2333,1990,8,29,-197.97009974236002,24
-34.13333,151.2333,1990,8,30,-65.52652475238523,24
-34.13333,151.2333,1990,8,31,180.97195982941668,24
-34.13333,151.2333,1990,9,1,-8.928637326042729,24
-34.13333,151.2333,1990,9,2,-338.84910507849963,24
-34.13333,151.2333,1990,9,3,-258.37681784556446,24
-34.13333,151.2333,1990,9,4,-1.110511199853506,24
-34.13333,151.2333,1990,9,5,-47.236500750214134,24
-34.13333,151.2333,1990,9,6,-52.01265350373898,24
-34.133,151.15,1990,4,19,-21.09653081670066,24
-34.133,151.15,1990,4,20,-130.63621005726156,24
-34.133,151.15,1990,4,21,-317.24663935986024,24
-34.133,151.15,1990,4,22,-94.1452575073487,24
-34.133,151.15,1990,4,23,-77.13757165285928,24
-34.133,151.15,1990,4,24,-262.75522303467164,24
-34.133,151.15,1990,4,25,-291.97853208754924,24
-34.133,151.15,1990,4,26,-222.09269402914853,24
-34.133,151.15,1990,4,27,-145.0251259476269,24
-34.133,151.15,1990,4,28,-208.13970946938514,24
-34.133,151.15,1990,4,29,-172.34561065233146,24
-34.133,151.15,1990,4,30,-131.86763651669816,24
-34.133,151.15,1990,5,1,-192.22662491217235,24
-34.133,151.15,1990,5,2,-105.68948281700033,24
-34.133,151.15,1990,5,3,-74.45834405894361,24
-34.133,151.15,1990,8,23,-110.10607177229149,24
-34.133,151.15,1990,8,24,-116.96005780233264,24
-34.133,151.15,1990,8,25,25.637217012090034,24
-34.133,151.15,1990,8,26,203.15354600184799,24
-34.133,151.15,1990,8,27,98.11636919049214,24
-34.133,151.15,1990,8,28,-69.59945981201996,24
-34.133,151.15,1990,8,29,-185.20717589533334,24
-34.133,151.15,1990,8,30,-45.187305298335495,24
-34.133,151.15,1990,8,31,123.534029547024,24
-34.133,151.15,1990,9,1,-15.289416376206297,24
-34.133,151.15,1990,9,2,-269.1287300068967,24
-34.133,151.15,1990,9,3,-183.43163076777418,24
-34.133,151.15,1990,9,4,3.8820162287139572,24
-34.133,151.15,1990,9,5,-26.544081458961774,24
-34.133,151.15,1990,9,6,-17.729995431471668,24
-34.133,151.15,1990,10,22,345.87491805636904,24
-34.133,151.15,1990,10,23,461.86765378203853,24
-34.133,151.15,1990,10,24,385.73876995254204,24
-34.133,151.15,1990,10,25,270.21060338211197,24
-34.133,151.15,1990,10,26,-8.149052099784292,24
-34.133,151.15,1990,10,27,112.38755180178987,24
-34.133,151.15,1990,10,28,-52.35312541887999,24
-34.133,151.15,1990,10,29,-47.860168931221104,24
-34.133,151.15,1990,10,30,172.81972574911677,24
