Latitude,Longitude,Year,Month,Day,displacement,count
-34.133,151.15,1990,11,22,-125.19184139551558,24
-34.133,151.15,1990,11,23,-100.61740587554897,24
-34.133,151.15,1990,11,24,29.4428657084361,24
-34.133,151.15,1990,11,25,-36.6755074198027,24
-34.133,151.15,1990,11,26,-41.20028371261543,24
-34.133,151.15,1991,4,22,-202.4407823664119,24
-34.133,151.15,1991,4,23,-25.11219022705913,24
-34.133,151.15,1991,4,24,81.72598755597899,24
-34.133,151.15,1991,4,25,-242.4987350740208,24
-34.133,151.15,1991,4,26,-520.4479150694382,24
-34.133,151.15,1991,4,27,-286.3846103415827,24
-34.133,151.15,1991,4,28,-125.29048279149175,24
-34.133,151.15,1991,4,29,-17.62817205498056,24
-34.133,151.15,1991,4,30,49.90936438309967,24
-34.133,151.15,1991,5,1,-83.1165130411821,24
-34.133,151.15,1991,5,2,-272.9534705863346,24
-34.133,151.15,1991,5,3,-191.49795137415978,24
-34.133,151.15,1991,5,4,-97.56588656133856,24
-34.133,151.15,1991,5,5,14.707113941899145,24
-34.133,151.15,1991,5,6,14.242544786659279,24
-34.133,151.15,1991,7,4,104.79534629219003,24
-34.133,151.15,1991,7,5,-44.59863890299771,24
-34.133,151.15,1991,7,6,-209.12612342914016,24
-34.133,151.15,1991,7,7,-127.98562028798395,24
-34.133,151.15,1991,7,8,-49.13932509838729,24
-34.133,151.15,1991,7,9,-146.84840078291617,24
-34.133,151.15,1991,7,10,-538.1301807931795,24
-34.133,151.15,1991,7,11,-391.739985204472,24
-34.133,151.15,1991,7,12,-313.21825202744026,24
-34.133,151.15,1991,7,13,-144.80238731155302,24
-34.133,151.15,1991,7,14,-323.97652814980285,24
-34.133,151.15,1991,7,15,-315.0924385509751,24
-34.133,151.15,1991,7,16,-238.35897842356405,24
-34.133,151.15,1991,7,17,-239.44721575980986,24
-34.133,151.15,1991,7,18,-225.2874024665491,24
-34.133,151.15,1991,9,17,-273.4498595467269,24
-34.133,151.15,1991,9,18,-264.07256296802177,24
-34.133,151.15,1991,9,19,-350.2628691870222,24
-34.133,151.15,1991,9,20,-34.610402065347074,24
-34.133,151.15,1991,9,21,-336.56762504900075,24
-34.133,151.15,1991,9,22,-83.87382440383281,24
-34.133,151.15,1991,9,23,-25.032640714175624,24
-34.133,151.15,1991,9,24,25.064460519328918,24
-34.133,151.15,1991,9,25,-30.337002233246306,24
-34.133,151.15,1991,9,26,-265.9658413746492,24
-34.133,151.15,1991,9,27,-12.845655340425278,24
-34.133,151.15,1991,9,28,-404.00970207162106,24
-34.133,151.15,1991,9,29,-240.24271088864475,24
-34.133,151.15,1991,9,30,47.05194588032454,24
-34.133,151.15,1991,10,1,-42.453984035658955,24
-34.133,151.183,1990,4,19,53.651373469138704,24
-34.133,151.183,1990,4,20,66.4652090044108,24
-34.133,151.183,1990,4,21,-0.4645691552400908,24
-34.133,151.183,1990,4,22,-314.7137828696497,24
-34.133,151.183,1990,4,23,-90.65144290150606,24
-34.133,151.183,1990,4,24,-276.3613717182629,24
-34.133,151.183,1990,4,25,-373.2781342544724,24
-34.133,151.183,1990,4,26,-505.64534171207896,24
-34.133,151.183,1990,4,27,-365.6413810176579,24
-34.133,151.183,1990,4,28,-53.31408353451274,24
-34.133,151.183,1990,4,29,-116.74686510780482,24
-34.133,151.183,1990,4,30,-254.7493600580778,24
-34.133,151.183,1990,5,1,-159.66860027921896,24
-34.133,151.183,1990,5,2,-190.73109406996272,24
-34.133,151.183,1990,5,3,-22.070216854394157,24
-34.133,151.183,1990,8,23,-361.4411667374096,24
-34.133,151.183,1990,8,24,-292.9840379303963,24
-34.133,151.183,1990,8,25,-500.7228178548488,24
-34.133,151.183,1990,8,26,-574.4652162978409,24
-34.133,151.183,1990,8,27,-234.47378021433454,24
-34.133,151.183,1990,8,28,61.17993936843152,24
-34.133,151.183,1990,8,29,92.58608705483242,24
-34.133,151.183,1990,8,30,34.92860011688158,24
-34.133,151.183,1990,8,31,-344.88532211609856,24
-34.133,151.183,1990,9,1,-187.67321079472129,24
-34.133,151.183,1990,9,2,-250.72415470617315,24
-34.133,151.183,1990,9,3,-451.96214843778694,24
-34.133,151.183,1990,9,4,-191.00792637479765,24
-34.133,151.183,1990,9,5,-48.40428759934389,24
-34.133,151.183,1990,9,6,-56.95426924406118,24
-34.133,151.183,1990,10,22,-428.288213403661,24
-34.133,151.183,1990,10,23,-403.3542140854621,24
-34.133,151.183,1990,10,24,-440.5006546215339,24
-34.133,151.183,1990,10,25,-392.4718407230001,24
-34.133,151.183,1990,10,26,3.9870215857205555,24
-34.133,151.183,1990,10,27,0.5663925317304785,24
-34.133,151.183,1990,10,28,179.2855101562868,24
-34.133,151.183,1990,10,29,166.73577900378757,24
-34.133,151.183,1990,10,30,-71.79184438708923,24
-34.133,151.183,1990,10,31,216.9092477696605,24
-34.133,151.183,1990,11,1,-192.5416409831911,24
-34.133,151.183,1990,11,2,81.7768992442242,24
-34.133,151.183,1990,11,3,146.81021701673228,24
-34.133,151.183,1990,11,4,180.45011502490075,24
-34.133,151.183,1990,11,5,169.01725903328645,24
-34.133,151.183,1990,11,12,222.78636578149275,24
-34.133,151.183,1990,11,13,260.1014512848782,24
-34.133,151.183,1990,11,14,124.94364691531925,24
-34.133,151.183,1990,11,15,-95.09666968143556,24
-34.133,151.183,1990,11,16,-59.079832228308135,24
-34.133,151.183,1990,11,17,-255.2584769405318,24
-34.133,151.183,1990,11,18,-517.9977900726274,24
-34.133,151.183,1990,11,19,-306.45017947131333,24
-34.133,151.183,1990,11,20,79.24404275401396,24
-34.133,151.183,1990,11,21,96.26763851108034,24
-34.133,151.183,1990,11,22,-137.7797563141986,24
-34.133,151.183,1990,11,23,-102.81297243113303,24
-34.133,151.183,1990,11,24,56.98927102972931,24
-34.133,151.183,1990,11,25,9.810045928791459,24
-34.133,151.183,1990,11,26,-61.44404375120496,24
-34.133,151.183,1991,4,22,-252.52197369733992,24
-34.133,151.183,1991,4,23,-6.971719309108772,24
-34.133,151.183,1991,4,24,122.340786853772,24
-34.133,151.183,1991,4,25,-285.4777458947105,24
-34.133,151.183,1991,4,26,-584.2784442071479,24
-34.133,151.183,1991,4,27,-360.6265797254828,24
-34.133,151.183,1991,4,28,-146.29155419273172,24
-34.133,151.183,1991,4,29,3.000607625964881,24
-34.133,151.183,1991,4,30,82.22555849688717,24
-34.133,151.183,1991,5,1,-44.22316520218787,24
-34.133,151.183,1991,5,2,-313.92146972133025,24
-34.133,151.183,1991,5,3,-236.99709076299902,24
-34.133,151.183,1991,5,4,-96.74175360786582,24
-34.133,151.183,1991,5,5,47.40196373701196,24
-34.133,151.183,1991,5,6,62.004072321904836,24
-34.133,151.183,1991,7,5,-30.976580316829377,24
-34.133,151.183,1991,7,6,-208.90974875409722,24
-34.133,151.183,1991,7,7,-146.5779324391126,24
-34.133,151.183,1991,7,8,-40.36024085656599,24
-34.133,151.183,1991,7,9,-167.617187606537,24
-34.133,151.183,1991,7,10,-554.4123750901714,24
-34.133,151.183,1991,7,11,-453.06947765712505,24
-34.133,151.183,1991,7,12,-325.09340331068717,24
-34.133,151.183,1991,7,13,-150.94997366718883,24
-34.133,151.183,1991,7,14,-374.8023029213203,24
-34.133,151.183,1991,7,15,-349.88103152518147,24
-34.133,151.183,1991,7,16,-269.3069209157554,24
-34.133,151.183,1991,7,17,-250.19594594062653,24
-34.133,151.183,1991,7,18,-220.3521506872581,24
-34.133,151.183,1991,7,19,-89.74457845463411,24
-34.133,151.183,1991,9,17,-277.7773530475893,24
-34.133,151.183,1991,9,18,-265.01124722004727,24
-34.133,151.183,1991,9,19,-370.1120636417099,24
-34.133,151.183,1991,9,20,-14.427099656548858,24
-34.133,151.183,1991,9,21,-374.50001477236293,24
-34.133,151.183,1991,9,22,-71.25090769948117,24
-34.133,151.183,1991,9,23,-23.48619818372051,24
-34.133,151.183,1991,9,24,48.03517785956445,24
-34.133,151.183,1991,9,25,-31.29477836836374,24
-34.133,151.183,1991,9,26,-331.2600815494148,24
-34.133,151.183,1991,9,27,-0.429567369570726,24
-34.133,151.183,1991,9,28,-421.2719463673376,24
-34.133,151.183,1991,9,29,-222.27088493800753,24
-34.133,151.183,1991,9,30,67.42298513952828,24
-34.133,151.183,1991,10,1,-18.9996056570914,24
-34.133,151.183,1992,1,14,-31.52069898495309,24
-34.133,151.183,1992,1,15,134.90960988936274,24
-34.133,151.183,1992,1,16,-139.63485095464253,24
-34.133,151.183,1992,1,17,69.79674260397094,24
-34.133,151.183,1992,1,18,199.2810757146799,24
-34.133,151.183,1992,1,19,291.15439913407636,24
-34.133,151.183,1992,1,20,328.31038561169515,24
-34.133,151.183,1992,1,21,400.550889251447,24
-34.133,151.183,1992,1,22,286.68371651002434,24
-34.133,151.183,1992,1,23,-175.06302201243133,24
-34.133,151.183,1992,1,24,-123.65176282609168,24
-34.133,151.183,1992,1,25,83.25015622282613,24
-34.133,151.183,1992,1,26,-29.977438435013177,24
-34.133,151.183,1992,1,27,116.89323621151051,24
-34.133,151.183,1992,1,28,-150.24039201226873,24
-34.133,151.183,1992,4,20,54.59005772116396,24
-34.133,151.183,1992,4,21,-187.66048287266025,24
-34.133,151.183,1992,4,22,-310.17946063529104,24
-34.133,151.183,1992,4,23,-166.5384962118371,24
-34.133,151.183,1992,4,24,-178.3277340211699,24
-34.133,151.183,1992,4,25,-56.35923888769251,24
-34.133,151.183,1992,4,26,67.96073984662,24
-34.133,151.183,1992,4,27,225.9428904527096,24
-34.133,151.183,1992,4,28,-96.93267243878599,24
-34.133,151.183,1992,4,29,-298.1388463652463,24
-34.133,151.183,1992,4,30,-294.46047688951404,24
-34.133,151.183,1992,5,1,-73.72967052093055,24
-34.133,151.183,1992,5,2,-92.63381676256252,24
-34.133,151.183,1992,5,3,-189.83377556463716,24
-34.133,151.183,1992,5,4,5.492098369475918,24
-34.133,151.183,1992,7,1,37.99602933366917,24
-34.133,151.183,1992,7,2,-15.22895874641472,24
-34.133,151.183,1992,7,3,116.94732988027089,24
-34.133,151.183,1992,7,4,-278.9960515849636,24
-34.133,151.183,1992,7,5,-27.797781782005433,24
-34.133,151.183,1992,7,6,-117.10961088655368,24
-34.133,151.183,1992,7,7,-408.3849252802125,24
-34.133,151.183,1992,7,8,-284.6822507658756,24
-34.133,151.183,1992,7,9,-399.5040176619006,24
-34.133,151.183,1992,7,10,-294.4954786751827,24
-34.133,151.183,1992,7,11,-88.03903689841216,24
-34.133,151.183,1992,7,12,-225.5228690246844,24
-34.133,151.183,1992,7,13,-214.1759265069841,24
-34.133,151.183,1992,7,14,19.397353221509398,24
-34.133,151.183,1992,7,15,28.968750611650464,24
-34.133,151.183,1992,8,31,-71.31772929030322,24
-34.133,151.183,1992,9,1,-76.21479730341102,24
-34.133,151.183,1992,9,2,-54.905073792182435,24
-34.133,151.183,1992,9,3,-60.62309277824789,24
-34.133,151.183,1992,9,4,-198.40284909244605,24
-34.133,151.183,1992,9,5,-130.3211939862431,24
-34.133,151.183,1992,9,6,0.5027529214236548,24
-34.133,151.183,1992,9,7,-278.82422463713584,24
-34.133,151.183,1992,9,8,-196.80231289323032,24
-34.133,151.183,1992,9,9,-7.3408290488884225,24
-34.133,151.183,1992,9,10,98.72412746892184,24
-34.133,151.183,1992,9,11,-73.08691045683194,24
-34.133,151.183,1992,9,12,-394.5274001359095,24
-34.133,151.183,1992,9,13,-228.068453436956,24
-34.133,151.183,1992,9,14,153.20599785256448,24
-34.133,151.183,1992,11,19,343.7525370526376,24
-34.133,151.183,1992,11,20,449.8174935704481,24
-34.133,151.183,1992,11,21,182.4611267105951,24
-34.133,151.183,1992,11,22,-46.92148467919578,24
-34.133,151.183,1992,11,23,31.85480693906358,24
-34.133,151.183,1992,11,24,83.41880119013935,24
-34.133,151.183,1992,11,25,-109.06238216326005,24
-34.133,151.183,1992,11,26,-72.10367847759206,24
-34.133,151.183,1992,11,27,-22.41705273056646,24
-34.133,151.183,1992,11,28,-218.78025231267998,24
-34.133,151.183,1992,11,29,-395.9624733483279,24
-34.133,151.183,1992,11,30,-486.9639341065205,24
-34.133,151.183,1992,12,1,-85.10206888275417,24
-34.133,151.183,1992,12,2,127.84561314530897,24
-34.133,151.183,1992,12,3,322.9551124043788,24
-34.133,151.183,1993,2,10,2.05237743239423,24
-34.133,151.183,1993,2,11,83.03696352829859,24
-34.133,151.183,1993,2,12,-365.8163899460012,24
-34.133,151.183,1993,2,13,35.752733070353834,24
-34.133,151.183,1993,2,14,160.83320514783313,24
-34.133,151.183,1993,2,15,213.50134663773193,24
-34.133,151.183,1993,2,16,189.2801109549678,24
-34.133,151.183,1993,2,17,47.818803184521386,24
-34.133,151.183,1993,2,18,-38.209222028196436,24
-34.133,151.183,1993,2,19,256.0316982057592,24
-34.133,151.183,1993,2,20,203.93631320862158,24
-34.133,151.183,1993,2,21,-41.22573955673802,24
-34.133,151.183,1993,2,22,-160.43863956393145,24
-34.133,151.183,1993,2,23,-55.37282492793713,24
-34.133,151.183,1993,2,24,71.91594162718727,24
-34.11658,151.2231,2014,8,18,-732.7560190139183,24
-34.11658,151.2231,2014,8,19,-660.1877713810859,24
-34.11658,151.2231,2014,8,20,-420.5019070826255,24
