Estuary,Year,Month,Average_Wind_Speed,count
Sydney,1862,8,8.86039049895595,248
Sydney,1862,9,8.73440872817283,240
Sydney,1862,10,7.63920507063578,248
Sydney,1862,11,8.47102804088864,240
Sydney,1862,12,7.23010733225243,248
Sydney,1863,1,8.86041457397788,248
Sydney,1863,2,7.3727919081066,224
Sydney,1863,3,5.723538343454,248
Sydney,1863,4,7.14986126472012,240
Sydney,1863,5,5.29163541412361,248
Sydney,1863,6,8.72798791006023,240
Sydney,1863,7,8.03930003759243,248
Sydney,1863,8,8.77972928853227,248
Sydney,1863,9,6.1628972275538,240
Sydney,1863,10,4.8346736053939,248
Sydney,1863,11,7.62703267961478,240
Sydney,1863,12,8.45811710208646,248
Sydney,1864,1,7.76511909585071,248
Sydney,1864,2,6.91797447532882,232
Sydney,1864,3,6.53533837520388,248
Sydney,1864,4,4.76370036051541,240
Sydney,1864,5,6.85329138177149,248
Sydney,1864,6,7.80204581050183,240
Sydney,1864,7,8.9621823260155,248
Sydney,1864,8,11.0167504943265,248
Sydney,1864,9,6.85788092188732,240
Sydney,1864,10,6.73278365175478,248
Sydney,1864,11,7.88140049613984,240
Sydney,1864,12,7.67475412239468,248
Sydney,1865,1,8.0910216773153,248
Sydney,1865,2,7.91516154011393,224
Sydney,1865,3,6.0271389045039,248
Sydney,1865,4,4.70807073646272,240
Sydney,1865,5,10.225778285339,248
Sydney,1865,6,8.42868997147943,240
Sydney,1865,7,8.78343435656904,248
Sydney,1865,8,7.28568642100094,248
Sydney,1865,9,7.04072652002102,240
Sydney,1865,10,8.11963968587723,248
Sydney,1865,11,8.60868275144464,240
Sydney,1865,12,7.55221021619037,248
Sydney,1866,1,8.02855059432932,248
Sydney,1866,2,7.65760611495539,224
Sydney,1866,3,6.65671070278884,248
Sydney,1866,4,4.46463376269021,240
Sydney,1866,5,6.03891398172788,248
Sydney,1866,6,8.64098228292698,240
Sydney,1866,7,7.45201410612542,248
Sydney,1866,8,7.85344181846651,248
Sydney,1866,9,6.60934264816858,240
Sydney,1866,10,6.80557018107251,248
Sydney,1866,11,7.49006566549392,240
Sydney,1866,12,8.81934459595233,248
Sydney,1867,1,8.746261913618,248
Sydney,1867,2,7.54594995312877,224
Sydney,1867,3,5.85987098443446,248
Sydney,1867,4,4.86102971147827,240
Sydney,1867,5,5.98162359830737,248
Sydney,1867,6,6.74275194702511,240
Sydney,1867,7,8.86460323649888,248
Sydney,1867,8,6.39538711804478,248
Sydney,1867,9,9.07031367814892,240
Sydney,1867,10,8.70557844233551,248
Sydney,1867,11,8.50762308438149,240
Sydney,1867,12,7.61862803695215,248
Sydney,1868,1,8.69681019355142,248
Sydney,1868,2,8.98796753197981,232
Sydney,1868,3,6.62417160594638,248
Sydney,1868,4,5.78306600814377,240
Sydney,1868,5,6.47926878727448,248
Sydney,1868,6,9.98832880987918,240
Sydney,1868,7,9.2550467311372,248
Sydney,1868,8,7.40173183270966,248
Sydney,1868,9,7.22937186422431,240
Sydney,1868,10,6.7946450227519,248
Sydney,1868,11,7.74650567445314,240
Sydney,1868,12,7.53798740128658,248
