Estuary,Year,Month,Average_Wind_Speed,count
Camden_Haven_River,1860,4,5.91309366250026,240
Camden_Haven_River,1860,5,5.20822696047901,248
Camden_Haven_River,1860,6,8.00755802034355,240
Camden_Haven_River,1860,7,5.27223486316006,248
Camden_Haven_River,1860,8,6.05779502151409,248
Camden_Haven_River,1860,9,5.27951152473859,240
Camden_Haven_River,1860,10,6.99507968301458,248
Camden_Haven_River,1860,11,6.05194332197651,240
Camden_Haven_River,1860,12,7.99348175852215,248
Camden_Haven_River,1861,1,7.85082075734887,248
Camden_Haven_River,1861,2,7.15955905532397,224
Camden_Haven_River,1861,3,5.85199680561535,248
Camden_Haven_River,1861,4,6.0056302377274,240
Camden_Haven_River,1861,5,6.83163411920339,248
Camden_Haven_River,1861,6,10.2072283830112,240
Camden_Haven_River,1861,7,10.1171053636169,248
Camden_Haven_River,1861,8,7.00833989093475,248
Camden_Haven_River,1861,9,6.99001889801848,240
Camden_Haven_River,1861,10,9.02409794917619,248
Camden_Haven_River,1861,11,8.05607702840058,240
Camden_Haven_River,1861,12,8.93124282126488,248
Camden_Haven_River,1862,1,9.13636555000511,248
Camden_Haven_River,1862,2,7.19087230752905,224
Camden_Haven_River,1862,3,5.66861034042488,248
Camden_Haven_River,1862,4,4.55406272018828,240
Camden_Haven_River,1862,5,8.30530931954354,248
Camden_Haven_River,1862,6,8.90854806911251,240
Camden_Haven_River,1862,7,11.7081670872371,248
Camden_Haven_River,1862,8,8.29309647970434,248
Camden_Haven_River,1862,9,9.64829553391682,240
Camden_Haven_River,1862,10,7.74341878946028,248
Camden_Haven_River,1862,11,8.34895114710432,240
Camden_Haven_River,1862,12,7.88288580713742,248
Camden_Haven_River,1863,1,10.0058005817156,248
Camden_Haven_River,1863,2,7.82362613869741,224
Camden_Haven_River,1863,3,5.77527994101873,248
Camden_Haven_River,1863,4,7.01263899878256,240
Camden_Haven_River,1863,5,5.52129049987239,248
Camden_Haven_River,1863,6,8.05471852285361,240
Camden_Haven_River,1863,7,8.16301433535645,248
Camden_Haven_River,1863,8,8.47628566431655,248
Camden_Haven_River,1863,9,6.70879948721114,240
Camden_Haven_River,1863,10,5.37100253833343,248
Camden_Haven_River,1863,11,7.31045871726922,240
Camden_Haven_River,1863,12,8.97943323561488,248
Camden_Haven_River,1864,1,7.84583362280955,248
Camden_Haven_River,1864,2,7.15351826668231,232
Camden_Haven_River,1864,3,6.05083611446384,248
Camden_Haven_River,1864,4,4.68600340582648,240
Camden_Haven_River,1864,5,6.48173394568808,248
Camden_Haven_River,1864,6,7.57075912558229,240
Camden_Haven_River,1864,7,9.74153758377279,248
Camden_Haven_River,1864,8,10.4431025675805,248
Camden_Haven_River,1864,9,7.48662824699322,240
Camden_Haven_River,1864,10,6.90214219229091,248
Camden_Haven_River,1864,11,8.13077789351351,240
Camden_Haven_River,1864,12,7.53583137815562,248
Camden_Haven_River,1865,1,8.322398467319,248
Camden_Haven_River,1865,2,8.52135513810345,224
Camden_Haven_River,1865,3,5.99046275770056,248
Camden_Haven_River,1865,4,5.07692666814088,240
Camden_Haven_River,1865,5,10.7173955949073,248
Camden_Haven_River,1865,6,9.0699007583065,240
Camden_Haven_River,1865,7,9.21846247524387,248
Camden_Haven_River,1865,8,7.90680436548815,248
Camden_Haven_River,1865,9,8.79833744093794,240
Camden_Haven_River,1865,10,8.16782497317138,248
Camden_Haven_River,1865,11,8.15805195091832,240
Camden_Haven_River,1865,12,7.69648694642717,248
Camden_Haven_River,1866,1,8.63265057849936,248
Camden_Haven_River,1866,2,7.97350407022302,224
Camden_Haven_River,1866,3,6.65599654256768,248
Camden_Haven_River,1866,4,4.59307969035893,240
Camden_Haven_River,1866,5,6.65366900967793,248
Camden_Haven_River,1866,6,8.92533432337935,240
Camden_Haven_River,1866,7,8.5188670461229,248
Camden_Haven_River,1866,8,8.1831055100992,248
Camden_Haven_River,1866,9,7.81875568209059,240
Camden_Haven_River,1866,10,7.37476234061128,248
Camden_Haven_River,1866,11,7.83992189846327,240
Camden_Haven_River,1866,12,9.3999019283046,248
Camden_Haven_River,1867,1,9.29886164648578,248
Camden_Haven_River,1867,2,7.2412379830413,224
Camden_Haven_River,1867,3,6.70473679642093,248
Camden_Haven_River,1867,4,4.91969474560531,240
Camden_Haven_River,1867,5,5.79837101894102,248
Camden_Haven_River,1867,6,8.00632451782147,240
Camden_Haven_River,1867,7,10.5310673196124,248
Camden_Haven_River,1867,8,6.56708612782559,248
Camden_Haven_River,1867,9,10.907258832635,240
Camden_Haven_River,1867,10,10.0932517470307,248
Camden_Haven_River,1867,11,8.50094123414614,240
Camden_Haven_River,1867,12,8.14826551101226,248
Camden_Haven_River,1868,1,9.32143866202451,248
Camden_Haven_River,1868,2,9.04048252169149,232
Camden_Haven_River,1868,3,7.03663612400184,248
Camden_Haven_River,1868,4,5.66370099799584,240
Camden_Haven_River,1868,5,6.16151080525618,248
Camden_Haven_River,1868,6,10.196080852194,240
Camden_Haven_River,1868,7,9.23462087025425,248
Camden_Haven_River,1868,8,7.98319599349636,248
Camden_Haven_River,1868,9,7.87032916989974,240
Camden_Haven_River,1868,10,7.23041301800002,248
Camden_Haven_River,1868,11,7.94431204029108,240
Camden_Haven_River,1868,12,8.25444135047462,248
Camden_Haven_River,1869,1,8.08126491537349,248
Camden_Haven_River,1869,2,8.74802124497442,224
Camden_Haven_River,1869,3,7.68645797396668,248
Camden_Haven_River,1869,4,4.95055782426642,240
Camden_Haven_River,1869,5,6.81276890465595,248
Camden_Haven_River,1869,6,10.6508609340213,240
Camden_Haven_River,1869,7,7.313021069633,248
Camden_Haven_River,1869,8,7.48664670714284,248
Camden_Haven_River,1869,9,7.38114931307506,240
Camden_Haven_River,1869,10,9.22050655819561,248
Camden_Haven_River,1869,11,6.20622683224935,240
Camden_Haven_River,1869,12,8.9292181063646,248
Camden_Haven_River,1870,1,10.8946707220536,248
Camden_Haven_River,1870,2,9.10051312657997,224
Camden_Haven_River,1870,3,6.37156009302038,248
Camden_Haven_River,1870,4,5.26364325401065,240
