"Southeast.Winds","Northeast.Winds","Abundance","Error"
-2,-2,1.91059968993486,2.20942223448308
-1.95,-2,1.84698321984849,2.07246013999041
-1.9,-2,1.78464216200035,2.15999279457311
-1.85,-2,1.72357651639044,1.87902667727032
-1.8,-2,1.66378628301877,1.89569622760911
-1.75,-2,1.60527146188533,1.70379516997799
-1.7,-2,1.54803205299013,1.76631520967922
-1.65,-2,1.49206805633316,1.5938308140682
-1.6,-2,1.43737947191443,1.49694079901608
-1.55,-2,1.38396629973394,1.45115866964625
-1.5,-2,1.33182853979167,1.39219787519274
-1.45,-2,1.28096619208765,1.32208935613013
-1.4,-2,1.23137925662186,1.26316497273215
-1.35,-2,1.1830677333943,1.09396221003997
-1.3,-2,1.13603162240498,1.04156359784431
-1.25,-2,1.09027092365389,1.14436742104402
-1.2,-2,1.04578563714104,0.972653286177205
-1.15,-2,1.00257576286642,0.880787127922828
-1.1,-2,0.96064130083004,0.821870731492287
-1.05,-2,0.919982251031892,0.820724947504525
-1,-2,0.88059861347198,0.743852901219124
-0.95,-2,0.842490388150303,0.695809948550175
-0.9,-2,0.80565757506686,0.665888590586183
-0.85,-2,0.770100174221653,0.623901015724826
-0.8,-2,0.73581818561468,0.539459255536101
-0.75,-2,0.702811609245943,0.514708836968662
-0.7,-2,0.67108044511544,0.437310302209225
-0.65,-2,0.640624693223172,0.436780967510453
-0.6,-2,0.611444353569139,0.405002987675919
-0.55,-2,0.583539426153341,0.342143257059449
-0.5,-2,0.556909910975778,0.378646785660775
-0.45,-2,0.53155580803645,0.343087977171498
-0.4,-2,0.507477117335357,0.324521441805913
-0.35,-2,0.484673838872499,0.335793634337227
-0.3,-2,0.463145972647875,0.335515643157745
-0.25,-2,0.442893518661487,0.348084344022953
-0.2,-2,0.423916476913333,0.389287206937201
-0.15,-2,0.406214847403415,0.407664683472695
-0.0999999999999999,-2,0.389788630131731,0.388940869920373
-0.0499999999999998,-2,0.374637825098282,0.458010176568303
0,-2,0.360762432303069,0.456144916853962
0.0500000000000003,-2,0.34816245174609,0.459750074692309
0.1,-2,0.336837883427346,0.532864397384533
0.15,-2,0.326788727346837,0.560393528027627
0.2,-2,0.318014983504563,0.537938891810446
0.25,-2,0.310516651900524,0.60038145876787
0.3,-2,0.304293732534719,0.641965472504968
0.35,-2,0.29934622540715,0.664938282403658
0.4,-2,0.295674130517816,0.692236009018824
0.45,-2,0.293277447866716,0.718454549081831
0.5,-2,0.292156177453852,0.783909142924849
0.55,-2,0.292310319279222,0.820587955584522
0.6,-2,0.293739873342827,0.812026193304458
0.65,-2,0.296444839644668,0.88989452971096
0.7,-2,0.300425218184743,0.903104632432376
0.75,-2,0.305681008963053,0.883380057113892
0.8,-2,0.312212211979598,0.967752693147947
0.85,-2,0.320018827234378,0.900890227935935
0.9,-2,0.329100854727393,0.883210767335145
0.95,-2,0.339458294458643,1.02102203052894
1,-2,0.351091146428127,0.978675363420102
1.05,-2,0.363999410635847,0.922322925026899
1.1,-2,0.378183087081802,0.976027951434138
1.15,-2,0.393642175765991,1.07943328691203
1.2,-2,0.410376676688416,1.01425613719512
1.25,-2,0.428386589849075,1.06766957714977
1.3,-2,0.44767191524797,1.01113024420137
1.35,-2,0.468232652885099,1.15450876467013
1.4,-2,0.490068802760463,1.21049204515386
1.45,-2,0.513180364874062,1.05521531065423
1.5,-2,0.537567339225896,1.0413247385404
1.55,-2,0.563229725815965,1.09079893064935
1.6,-2,0.590167524644269,1.14283606271121
1.65,-2,0.618380735710808,1.16081382262948
1.7,-2,0.647869359015581,1.19260943018865
1.75,-2,0.67863339455859,1.07437217689782
1.8,-2,0.710672842339834,1.11006959982858
1.85,-2,0.743987702359312,1.16773885434473
1.9,-2,0.778577974617025,1.12737449590034
1.95,-2,0.814443659112974,1.18899464465987
2,-2,0.851584755847157,1.20140931463876
-2,-1.95,1.83841335783408,2.05395292054303
-1.95,-1.95,1.7753842121673,1.87682345150918
-1.9,-1.95,1.71363047873875,2.13325135504044
-1.85,-1.95,1.65315215754844,1.93072098537055
-1.8,-1.95,1.59394924859636,1.77608793399742
-1.75,-1.95,1.53602175188252,1.67367655270172
-1.7,-1.95,1.47936966740691,1.5363973040471
-1.65,-1.95,1.42399299516954,1.65449565300634
-1.6,-1.95,1.3698917351704,1.5200307016584
-1.55,-1.95,1.3170658874095,1.37582930764855
-1.5,-1.95,1.26551545188683,1.39121375022342
-1.45,-1.95,1.2152404286024,1.32413226464591
-1.4,-1.95,1.1662408175562,1.16591907438226
-1.35,-1.95,1.11851661874824,1.06915746300571
-1.3,-1.95,1.07206783217851,1.01115267682509
-1.25,-1.95,1.02689445784701,1.04720912649187
-1.2,-1.95,0.982996495753755,0.996399380803754
-1.15,-1.95,0.940373945898731,0.92631814819255
-1.1,-1.95,0.899026808281942,0.86077645071736
-1.05,-1.95,0.858955082903388,0.808465150452887
-1,-1.95,0.82015876976307,0.82027657266175
-0.95,-1.95,0.782637868860986,0.662856103817223
-0.9,-1.95,0.746392380197136,0.634185502944918
-0.85,-1.95,0.711422303771522,0.59852807456788
-0.8,-1.95,0.677727639584143,0.542706047229376
-0.75,-1.95,0.645308387634999,0.474971337287619
-0.7,-1.95,0.614164547924089,0.424944391245937
-0.65,-1.95,0.584296120451415,0.447081219457445
-0.6,-1.95,0.555703105216976,0.399529148244325
-0.55,-1.95,0.528385502220771,0.404407452299598
-0.5,-1.95,0.502343311462802,0.337646751212679
-0.45,-1.95,0.477576532943067,0.344460725156535
-0.4,-1.95,0.454085166661567,0.344819903745668
