"Southeast.Winds","Northeast.Winds","Abundance","Error"
-2,-2,0.164042040147718,0.790224481785769
-1.95,-2,0.161328747129355,0.840276912780251
-1.9,-2,0.15872936426859,0.845201330420778
-1.85,-2,0.156243891565423,0.883331691058068
-1.8,-2,0.153872329019852,0.866549954441866
-1.75,-2,0.15161467663188,0.78072690409947
-1.7,-2,0.149470934401504,0.87272397341566
-1.65,-2,0.147441102328726,0.903599054040961
-1.6,-2,0.145525180413546,0.892113781708548
-1.55,-2,0.143723168655963,0.871949771961123
-1.5,-2,0.142035067055977,0.850304143918457
-1.45,-2,0.140460875613589,0.930934320090995
-1.4,-2,0.139000594328799,0.817344947205653
-1.35,-2,0.137654223201605,0.772659616014617
-1.3,-2,0.13642176223201,0.775256275637394
-1.25,-2,0.135303211420011,0.881605877597164
-1.2,-2,0.134298570765611,0.778910556230046
-1.15,-2,0.133407840268807,0.872087907344587
-1.1,-2,0.132631019929601,0.888830732030456
-1.05,-2,0.131968109747993,0.861167102026245
-1,-2,0.131419109723982,0.79816263112498
-0.95,-2,0.130984019857568,0.83236586833568
-0.9,-2,0.130662840148752,0.902802703489633
-0.85,-2,0.130455570597533,0.837746976583331
-0.8,-2,0.130362211203912,0.894922457273691
-0.75,-2,0.130382761967889,0.834091311737621
-0.7,-2,0.130517222889462,0.867399246755364
-0.65,-2,0.130765593968633,0.901292380804537
-0.6,-2,0.131127875205402,0.798377781238704
-0.55,-2,0.131604066599768,0.915008579286477
-0.5,-2,0.132194168151731,0.75655286516445
-0.45,-2,0.132898179861292,0.889247467302265
-0.4,-2,0.133716101728451,0.874257357879824
-0.35,-2,0.134647933753207,0.856102671539629
-0.3,-2,0.13569367593556,0.892600940501815
-0.25,-2,0.136853328275511,0.842405538223403
-0.2,-2,0.138126890773059,0.916856580069791
-0.15,-2,0.139514363428204,0.780013646649741
-0.0999999999999999,-2,0.141015746240947,0.797049660160089
-0.0499999999999998,-2,0.142631039211288,0.886139720984129
0,-2,0.144360242339226,0.797083511921116
0.0500000000000003,-2,0.146203355624761,0.880881168626107
0.1,-2,0.148160379067894,0.828567987433028
0.15,-2,0.150231312668625,0.806167943746154
0.2,-2,0.152416156426952,0.849793094972034
0.25,-2,0.154714910342878,0.794323313651245
0.3,-2,0.1571275744164,0.923623431821504
0.35,-2,0.159654148647521,0.835800831560432
0.4,-2,0.162294633036238,0.779620152093112
0.45,-2,0.165049027582553,0.885144762572253
0.5,-2,0.167917332286466,0.822083422157546
0.55,-2,0.170899547147976,0.881884289062547
0.6,-2,0.173995672167083,1.01073192715128
0.65,-2,0.177205707343788,0.866805553204607
0.7,-2,0.18052965267809,0.837683540916341
0.75,-2,0.18396750816999,0.764958153076808
0.8,-2,0.187519273819487,0.80102106941243
0.85,-2,0.191184949626582,0.907831967353438
0.9,-2,0.194964535591274,0.826623744048515
0.95,-2,0.198858031713564,0.838768487775599
1,-2,0.20286543799345,0.808244516969635
1.05,-2,0.206986754430935,0.91800916727543
1.1,-2,0.211221981026017,0.931296045629631
1.15,-2,0.215571117778696,0.978919629692782
1.2,-2,0.220034164688973,0.848249945194077
1.25,-2,0.224611121756847,0.905985980422011
1.3,-2,0.229301988982319,0.853276225091109
1.35,-2,0.234106766365388,0.926655881464103
1.4,-2,0.239025453906055,0.852438962269411
1.45,-2,0.244058051604319,0.917267504163061
1.5,-2,0.24920455946018,0.906284344750263
1.55,-2,0.254464977473639,0.867150508446493
1.6,-2,0.259839305644696,0.851302106511375
1.65,-2,0.26532754397335,0.876481348447453
1.7,-2,0.270929692459601,0.79000419648779
1.75,-2,0.276645751103449,0.978016047449668
1.8,-2,0.282475719904896,0.836743065982897
1.85,-2,0.28841959886394,0.874342193768206
1.9,-2,0.294477387980581,0.83068425291041
1.95,-2,0.300649087254819,0.888103874185307
2,-2,0.306934696686655,0.801815437967465
-2,-1.95,0.152646274351505,0.846609783589245
-1.95,-1.95,0.149867101726454,0.895341401389804
-1.9,-1.95,0.147201839259001,0.820678750210515
-1.85,-1.95,0.144650486949144,0.837475051374562
-1.8,-1.95,0.142213044796886,0.946323994249199
-1.75,-1.95,0.139889512802224,0.781522849568337
-1.7,-1.95,0.13767989096516,0.873120027533681
