"Southeast.Winds","Northeast.Winds","Abundance"
-2,-2,0.000590897305261642
-1.95,-2,0.000622314313875715
-1.9,-2,0.000651406045109232
-1.85,-2,0.000677700790269143
-1.8,-2,0.000700758562260607
-1.75,-2,0.000720183300963004
-1.7,-2,0.000735634171117498
-1.65,-2,0.000746835503202145
-1.6,-2,0.000753584972474501
-1.55,-2,0.000755759677203491
-1.5,-2,0.000753319860976299
-1.45,-2,0.000746310121568777
-1.4,-2,0.000734858055022437
-1.35,-2,0.00071917039252553
-1.3,-2,0.000699526793510469
-1.25,-2,0.000676271555325532
-1.2,-2,0.00064980358277187
-1.15,-2,0.000620565025494616
-1.1,-2,0.00058902903463735
-1.05,-2,0.000555687110622837
-1,-2,0.000521036511142838
-0.95,-2,0.000485568163547176
-0.9,-2,0.000449755481196246
-0.85,-2,0.000414044422403709
-0.8,-2,0.000378845057535504
-0.75,-2,0.000344524829286306
-0.7,-2,0.000311403607887048
-0.65,-2,0.000279750561578044
-0.6,-2,0.000249782787214143
-0.55,-2,0.000221665579761929
-0.5,-2,0.00019551416526711
-0.45,-2,0.000171396681244171
-0.4,-2,0.000149338162058451
-0.35,-2,0.00012932527453279
-0.3,-2,0.000111311549738189
-0.25,-2,9.52228691132675e-05
-0.2,-2,8.09629846414116e-05
-0.15,-2,6.84188814700758e-05
-0.0999999999999999,-2,5.74658246685857e-05
-0.0499999999999998,-2,4.79719674466218e-05
0,-2,3.98024339605106e-05
0.0500000000000003,-2,3.28228239917357e-05
0.1,-2,2.69021178385194e-05
0.15,-2,2.19149866674283e-05
0.2,-2,1.77435356807533e-05
0.25,-2,1.42785244944166e-05
0.3,-2,1.14201211445957e-05
0.35,-2,9.07825346892886e-06
0.4,-2,7.17262475784992e-06
0.45,-2,5.63246019098355e-06
0.5,-2,4.39604737646477e-06
0.55,-2,3.41012902192153e-06
0.6,-2,2.62919907436591e-06
0.65,-2,2.0147461935763e-06
0.7,-2,1.53448070014011e-06
0.75,-2,1.16157359311543e-06
0.8,-2,8.73929186189467e-07
0.85,-2,6.53506587903112e-07
0.9,-2,4.85699783398375e-07
0.95,-2,3.58781517899699e-07
1,-2,2.63412529824689e-07
1.05,-2,1.92214881879847e-07
1.1,-2,1.39406107866879e-07
1.15,-2,1.00489528498636e-07
1.2,-2,7.1995280514173e-08
1.25,-2,5.12662393937339e-08
1.3,-2,3.62829932074548e-08
1.35,-2,2.55222505103708e-08
1.4,-2,1.78434587025816e-08
1.45,-2,1.23989048242181e-08
1.5,-2,8.56311597347105e-09
1.55,-2,5.87793174567049e-09
1.6,-2,4.01015782283383e-09
1.65,-2,2.71920909678492e-09
1.7,-2,1.83260116063558e-09
1.75,-2,1.22754528754256e-09
1.8,-2,8.17243175939463e-10
1.85,-2,5.40765897364106e-10
1.9,-2,3.55640737113593e-10
1.95,-2,2.3246518544993e-10
2,-2,1.51024898946359e-10
-2,-1.95,0.000650271575242266
-1.95,-1.95,0.000688017122170461
-1.9,-1.95,0.000723515659890314
-1.85,-1.95,0.000756207252103462
-1.8,-1.95,0.000785557453735455
-1.75,-1.95,0.000811071764719124
-1.7,-1.95,0.000832309449368648
-1.65,-1.95,0.000848896183409836
-1.6,-1.95,0.000860535022310452
-1.55,-1.95,0.00086701524210786
-1.5,-1.95,0.000868218685034892
-1.45,-1.95,0.000864123342968494
-1.4,-1.95,0.000854804026860817
-1.35,-1.95,0.000840430093703351
-1.3,-1.95,0.000821260327516614
-1.25,-1.95,0.000797635190544178
-1.2,-1.95,0.000769966768802048
-1.15,-1.95,0.000738726826709009
-1.1,-1.95,0.000704433454155427
-1.05,-1.95,0.000667636832927922
-1,-1.95,0.000628904666350685
-0.95,-1.95,0.000588807806421879
-0.9,-1.95,0.000547906578275536
-0.85,-1.95,0.000506738245537824
-0.8,-1.95,0.000465805986250484
-0.75,-1.95,0.00042556966247735
-0.7,-1.95,0.000386438572891329
-0.65,-1.95,0.000348766282009595
-0.6,-1.95,0.000312847527451761
-0.55,-1.95,0.000278917122180497
-0.5,-1.95,0.000247150695840634
-0.45,-1.95,0.000217667060730303
-0.4,-1.95,0.000190531945223727
-0.35,-1.95,0.000165762811152928
-0.3,-1.95,0.000143334461282439
-0.25,-1.95,0.000123185147258567
-0.2,-1.95,0.000105222905289949
-0.15,-1.95,8.9331873857609e-05
-0.0999999999999999,-1.95,7.53783822434411e-05
-0.0499999999999998,-1.95,6.3216637834991e-05
0,-1.95,5.26938813655819e-05
0.0500000000000003,-1.95,4.36549201065373e-05
0.1,-1.95,3.59459875429686e-05
0.15,-1.95,2.94179126781261e-05
0.2,-1.95,2.39286117322652e-05
0.25,-1.95,1.93449389960155e-05
0.3,-1.95,1.55439517498427e-05
0.35,-1.95,1.24136566141474e-05
0.4,-1.95,9.85331187919756e-06
0.45,-1.95,7.77336291903518e-06
0.5,-1.95,6.09508648797711e-06
0.55,-1.95,4.75001536106603e-06
0.6,-1.95,3.67920823774645e-06
0.65,-1.95,2.83242185746826e-06
0.7,-1.95,2.16723356704241e-06
0.75,-1.95,1.64815371389615e-06
0.8,-1.95,1.2457586790653e-06
0.85,-1.95,9.35867450939695e-07
0.9,-1.95,6.98777604686077e-07
0.95,-1.95,5.18570521984404e-07
1,-1.95,3.82490706251952e-07
1.05,-1.95,2.8040009848358e-07
1.1,-1.95,2.04305307889897e-07
1.15,-1.95,1.47953536732093e-07
1.2,-1.95,1.06491578804981e-07
1.25,-1.95,7.61814779200435e-08
1.3,-1.95,5.4166120927046e-08
1.35,-1.95,3.82780926725331e-08
