"Southeast.Winds","Northeast.Winds","Abundance"
-2,-2,0.000656664956873471
-1.95,-2,0.000678183665296979
-1.9,-2,0.000700171201225133
-1.85,-2,0.00072262768585545
-1.8,-2,0.00074555276199129
-1.75,-2,0.000768945579189896
-1.7,-2,0.000792804779282001
-1.65,-2,0.000817128482304538
-1.6,-2,0.000841914272888347
-1.55,-2,0.000867159187142972
-1.5,-2,0.000892859700080738
-1.45,-2,0.000919011713622312
-1.4,-2,0.00094561054522582
-1.35,-2,0.000972650917181349
-1.3,-2,0.00100012694661232
-1.25,-2,0.00102803213622467
-1.2,-2,0.00105635936584432
-1.15,-2,0.0010851008847824
-1.1,-2,0.00111424830506717
-1.05,-2,0.00114379259558029
-1,-2,0.00117372407713402
-0.95,-2,0.00120403241852498
-0.9,-2,0.00123470663359803
-0.85,-2,0.00126573507935317
-0.8,-2,0.00129710545512591
-0.75,-2,0.00132880480287038
-0.7,-2,0.00136081950857213
-0.65,-2,0.00139313530481584
-0.6,-2,0.00142573727453083
-0.55,-2,0.00145860985593514
-0.5,-2,0.00149173684869641
-0.45,-2,0.00152510142132551
-0.4,-2,0.00155868611981613
-0.35,-2,0.001592472877541
-0.3,-2,0.00162644302641255
-0.25,-2,0.00166057730931296
-0.2,-2,0.00169485589379587
-0.15,-2,0.00172925838705853
-0.0999999999999999,-2,0.00176376385218078
-0.0499999999999998,-2,0.00179835082562345
0,-2,0.00183299733597632
0.0500000000000003,-2,0.00186768092394191
0.1,-2,0.00190237866353871
0.15,-2,0.00193706718450387
0.2,-2,0.00197172269587243
0.25,-2,0.00200632101070656
0.3,-2,0.0020408375719455
0.35,-2,0.00207524747934319
0.4,-2,0.00210952551745797
0.45,-2,0.00214364618465506
0.5,-2,0.0021775837230798
0.55,-2,0.00221131214955653
0.6,-2,0.00224480528736493
0.65,-2,0.00227803679884309
0.7,-2,0.0023109802187633
0.75,-2,0.00234360898842449
0.8,-2,0.00237589649040225
0.85,-2,0.00240781608389511
0.9,-2,0.00243934114060351
0.95,-2,0.00247044508107555
1,-2,0.00250110141145192
1.05,-2,0.00253128376054014
1.1,-2,0.00256096591714703
1.15,-2,0.00259012186759635
1.2,-2,0.00261872583335759
1.25,-2,0.00264675230871065
1.3,-2,0.00267417609836989
1.35,-2,0.00270097235499086
1.4,-2,0.00272711661648189
1.45,-2,0.00275258484304266
1.5,-2,0.00277735345385178
1.55,-2,0.00280139936332517
1.6,-2,0.00282470001686766
1.65,-2,0.00284723342604051
1.7,-2,0.00286897820306826
1.75,-2,0.00288991359460929
1.8,-2,0.00291001951471572
1.85,-2,0.00292927657690925
1.9,-2,0.0029476661253015
1.95,-2,0.00296517026468904
2,-2,0.00298177188955495
-2,-1.95,0.000688542525815402
-1.95,-1.95,0.000711022387134536
-1.9,-1.95,0.000733988433051366
-1.85,-1.95,0.000757440618475897
-1.8,-1.95,0.000781378396916805
-1.75,-1.95,0.000805800705211886
-1.7,-1.95,0.000830705948658691
-1.65,-1.95,0.000856091986588538
-1.6,-1.95,0.000881956118427446
-1.55,-1.95,0.000908295070287643
-1.5,-1.95,0.000935104982133455
-1.45,-1.95,0.000962381395565257
-1.4,-1.95,0.000990119242265065
-1.35,-1.95,0.00101831283314702
-1.3,-1.95,0.00104695584825556
-1.25,-1.95,0.00107604132745365
-1.2,-1.95,0.00110556166194263
-1.15,-1.95,0.00113550858665439
-1.1,-1.95,0.00116587317355593
-1.05,-1.95,0.00119664582590483
-1,-1.95,0.00122781627349335
-0.95,-1.95,0.0012593735689172
-0.9,-1.95,0.00129130608490383
-0.85,-1.95,0.00132360151273316
-0.8,-1.95,0.00135624686178214
-0.75,-1.95,0.0013892284602226
-0.7,-1.95,0.00142253195689968
-0.65,-1.95,0.00145614232441624
-0.6,-1.95,0.00149004386344616
-0.55,-1.95,0.00152422020829714
-0.5,-1.95,0.00155865433374125
-0.45,-1.95,0.00159332856312859
-0.4,-1.95,0.001628224577797
-0.35,-1.95,0.00166332342778774
-0.3,-1.95,0.00169860554387436
-0.25,-1.95,0.0017340507509088
-0.2,-1.95,0.00176963828248583
-0.15,-1.95,0.00180534679692392
-0.0999999999999999,-1.95,0.00184115439455705
-0.0499999999999998,-1.95,0.00187703863632935
0,-1.95,0.00191297656368049
0.0500000000000003,-1.95,0.00194894471970702
0.1,-1.95,0.0019849191715812
0.15,-1.95,0.00202087553420548
0.2,-1.95,0.00205678899507772
0.25,-1.95,0.0020926343403385
0.3,-1.95,0.00212838598196892
0.35,-1.95,0.00216401798610363
0.4,-1.95,0.0021995041024208
0.45,-1.95,0.00223481779456743
0.5,-1.95,0.00226993227157524
0.55,-1.95,0.00230482052021915
0.6,-1.95,0.00233945533826768
0.65,-1.95,0.00237380936857122
0.7,-1.95,0.00240785513393173
0.75,-1.95,0.00244156507269424
0.8,-1.95,0.00247491157499851
0.85,-1.95,0.00250786701962609
0.9,-1.95,0.00254040381137625
0.95,-1.95,0.00257249441890168
1,-1.95,0.00260411141293305
