"Southeast.Winds","Northeast.Winds","Abundance","Error"
-2,-2,-1.79087127278515,2.16727923205476
-1.95,-2,-1.71156656469093,1.95496813873362
-1.9,-2,-1.63310267801358,2.06101620532107
-1.85,-2,-1.55547961275312,1.83932728001209
-1.8,-2,-1.47869736890955,1.8974217132757
-1.75,-2,-1.40275594648286,1.64054872662477
-1.7,-2,-1.32765534547305,1.75805611273009
-1.65,-2,-1.25339556588013,1.60264504294794
-1.6,-2,-1.17997660770409,1.39497688916692
-1.55,-2,-1.10739847094493,1.47525258109387
-1.5,-2,-1.03566115560266,1.37516617554574
-1.45,-2,-0.964764661677278,1.31925536747386
-1.4,-2,-0.894708989168777,1.38402714212965
-1.35,-2,-0.825494138077159,1.02406231657654
-1.3,-2,-0.757120108402426,1.06834977491778
-1.25,-2,-0.689586900144576,1.05612543410724
-1.2,-2,-0.622894513303611,0.925850198461267
-1.15,-2,-0.55704294787953,0.911271061041236
-1.1,-2,-0.492032203872333,0.905797958460514
-1.05,-2,-0.427862281282021,0.785793780610784
-1,-2,-0.364533180108592,0.750121616279178
-0.95,-2,-0.302044900352048,0.675944062526451
-0.9,-2,-0.240397442012388,0.608872484348771
-0.85,-2,-0.179590805089612,0.564415301212447
-0.8,-2,-0.11962498958372,0.513559368761118
-0.75,-2,-0.0604999954947124,0.489997684469056
-0.7,-2,-0.00221582282258903,0.458504748056123
-0.65,-2,0.0552275284326504,0.403842590233641
-0.6,-2,0.111830058271006,0.389935437978831
-0.55,-2,0.167591766692477,0.415262106722481
-0.5,-2,0.222512653697063,0.397583763260544
-0.45,-2,0.276592719284766,0.38251986678389
-0.4,-2,0.329831963455585,0.397374083446785
-0.35,-2,0.382230386209519,0.444047321393692
-0.3,-2,0.433787987546569,0.448171109130543
-0.25,-2,0.484504767466735,0.460129220475404
-0.2,-2,0.534380725970017,0.477574436136118
-0.15,-2,0.583415863056415,0.506662490967069
-0.0999999999999999,-2,0.631610178725928,0.567329601745689
-0.0499999999999998,-2,0.678963672978558,0.60740115800702
0,-2,0.725476345814303,0.617253071280127
0.0500000000000003,-2,0.771148197233164,0.661233675609163
0.1,-2,0.81597922723514,0.712017763612262
0.15,-2,0.859969435820233,0.687268147093473
0.2,-2,0.903118822988442,0.681436025603791
0.25,-2,0.945427388739766,0.778459914585576
0.3,-2,0.986895133074206,0.795855309633681
0.35,-2,1.02752205599176,0.749011039703964
0.4,-2,1.06730815749243,0.895523939089554
0.45,-2,1.10625343757622,0.922701411662298
0.5,-2,1.14435789624313,0.918671551905708
0.55,-2,1.18162153349314,0.879072495108265
0.6,-2,1.21804434932628,0.970904119782544
