Estuary,Latitude,Longitude,Coast_angle
Clarence_River,29.427,153.372,11
Hunter_River,32.915,151.801,55
Hawkesbury_River,33.5695,151.309,24
Camden_Haven_River,31.636,152.837,24
Wallis_Lake,32.174,152.511,24
Port_Stephens,32.70806,152.196,45
Tuggerah_Lakes,33.345,151.504,24
Lake Illawarra,34.544,150.874,24
St_Georges_Basin,35.185,150.594,24
Sydney,33.838509,151.308693,24
