"Southeast.Winds","Northeast.Winds","Abundance","Error"
-2,-2,-1.00910012261582,0.79197444183528
-1.95,-2,-0.953645821061983,0.715551060486632
-1.9,-2,-0.898764026278766,0.714346378542549
-1.85,-2,-0.844454738266173,0.71657710793145
-1.8,-2,-0.790717957024201,0.657552578455144
-1.75,-2,-0.737553682552852,0.738416850773748
-1.7,-2,-0.684961914852125,0.613715540014658
-1.65,-2,-0.632942653922021,0.664615012123689
-1.6,-2,-0.581495899762539,0.6312932499802
-1.55,-2,-0.53062165237368,0.626890250678034
-1.5,-2,-0.480319911755443,0.602928867853473
-1.45,-2,-0.430590677907828,0.636958006601652
-1.4,-2,-0.381433950830836,0.550038173265361
-1.35,-2,-0.332849730524466,0.550323695493528
-1.3,-2,-0.284838016988718,0.570173740136661
-1.25,-2,-0.237398810223593,0.555026118544834
-1.2,-2,-0.190532110229091,0.575737405018625
-1.15,-2,-0.144237917005211,0.567074329025192
-1.1,-2,-0.0985162305519529,0.536925688104729
-1.05,-2,-0.0533670508693174,0.574265354764237
-1,-2,-0.00879037795730453,0.55481449088538
-0.95,-2,0.0352137881840862,0.587799412640468
-0.9,-2,0.0786454475548543,0.567800929937946
-0.85,-2,0.121504600155,0.554339818206042
-0.8,-2,0.163791245984524,0.560433900286587
-0.75,-2,0.205505385043424,0.553264540983184
-0.7,-2,0.246647017331703,0.526345060906806
-0.65,-2,0.287216142849359,0.613971062894123
-0.6,-2,0.327212761596393,0.582256385979349
-0.55,-2,0.366636873572805,0.573229703251628
-0.5,-2,0.405488478778593,0.653669956496277
-0.45,-2,0.44376757721376,0.605368564203268
-0.4,-2,0.481474168878304,0.576828887319796
-0.35,-2,0.518608253772226,0.635976957368363
-0.3,-2,0.555169831895525,0.582031133615475
-0.25,-2,0.591158903248202,0.634001850920211
-0.2,-2,0.626575467830257,0.628547306107529
-0.15,-2,0.661419525641689,0.598656387996913
-0.0999999999999999,-2,0.695691076682499,0.609766342670471
-0.0499999999999998,-2,0.729390120952686,0.594576618634161
0,-2,0.762516658452251,0.613129026923959
0.0500000000000003,-2,0.795070689181193,0.689109552192721
0.1,-2,0.827052213139513,0.691730555892211
0.15,-2,0.858461230327211,0.641298607949833
0.2,-2,0.889297740744286,0.702605454484589
0.25,-2,0.919561744390739,0.695603511888549
0.3,-2,0.94925324126657,0.71819234188785
0.35,-2,0.978372231371778,0.710181507502092
0.4,-2,1.00691871470636,0.754405497898906
0.45,-2,1.03489269127033,0.668540324435005
0.5,-2,1.06229416106367,0.684916906018846
0.55,-2,1.08912312408639,0.753541100307016
0.6,-2,1.11537958033848,0.768457832369359
0.65,-2,1.14106352981996,0.758045089269364
0.7,-2,1.16617497253081,0.735820203982917
0.75,-2,1.19071390847104,0.729126585894491
0.8,-2,1.21468033764064,0.811955286100045
0.85,-2,1.23807426003963,0.814673434276861
0.9,-2,1.26089567566799,0.772005850601433
0.95,-2,1.28314458452573,0.796072089105684
1,-2,1.30482098661284,0.848888518479372
1.05,-2,1.32592488192934,0.852149217797724
1.1,-2,1.34645627047521,0.85160143509573
1.15,-2,1.36641515225046,0.840572039936583
1.2,-2,1.38580152725509,0.880911143574357
1.25,-2,1.40461539548909,1.02994701982093
1.3,-2,1.42285675695247,0.996473315627831
1.35,-2,1.44052561164523,0.923820011557299
1.4,-2,1.45762195956737,0.985943380581159
1.45,-2,1.47414580071889,1.01393860353555
1.5,-2,1.49009713509978,0.924789422121381
1.55,-2,1.50547596271005,1.09558885156264
1.6,-2,1.5202822835497,1.10963347719732
1.65,-2,1.53451609761872,1.05891084529601
1.7,-2,1.54817740491713,1.13345591249358
1.75,-2,1.56126620544491,1.06510373823808
1.8,-2,1.57378249920207,1.20053260507429
1.85,-2,1.5857262861886,1.08726571407096
1.9,-2,1.59709756640452,1.05874004243899
1.95,-2,1.60789633984981,1.17889679390351
2,-2,1.61812260652448,1.25623177684967
-2,-1.95,-1.00045272438896,0.716579813520572
-1.95,-1.95,-0.94557399122242,0.708510506313144
-1.9,-1.95,-0.891267764826506,0.686975344450018
-1.85,-1.95,-0.837534045201215,0.670059403665458
-1.8,-1.95,-0.784372832346546,0.678746192344093
-1.75,-1.95,-0.7317841262625,0.690527266129669
-1.7,-1.95,-0.679767926949076,0.650493836438269
-1.65,-1.95,-0.628324234406274,0.640579886660892
-1.6,-1.95,-0.577453048634095,0.619501232283953
-1.55,-1.95,-0.527154369632538,0.57091520367193
-1.5,-1.95,-0.477428197401603,0.596024711509497
-1.45,-1.95,-0.428274531941291,0.59493621879574
-1.4,-1.95,-0.379693373251601,0.621899005625386
-1.35,-1.95,-0.331684721332534,0.542776669455611
-1.3,-1.95,-0.284248576184089,0.5868164280389
-1.25,-1.95,-0.237384937806266,0.56615200439855
-1.2,-1.95,-0.191093806199066,0.545093806131136
-1.15,-1.95,-0.145375181362489,0.561681227530308
-1.1,-1.95,-0.100229063296533,0.561386778260637
-1.05,-1.95,-0.0556554520012004,0.52860784940144
-1,-1.95,-0.01165434747649,0.554405792159204
-0.95,-1.95,0.0317742502775981,0.528572919639804
-0.9,-1.95,0.0746303412610638,0.567493686219762
-0.85,-1.95,0.116913925473907,0.527210587314681
-0.8,-1.95,0.158625002916128,0.520949773065864
-0.75,-1.95,0.199763573587726,0.509210314283035
-0.7,-1.95,0.240329637488702,0.538491757015214
-0.65,-1.95,0.280323194619056,0.547216167201802
-0.6,-1.95,0.319744244978787,0.544624717025581
-0.55,-1.95,0.358592788567896,0.561487520177651
-0.5,-1.95,0.396868825386383,0.558815554692267
