"Year","Month","displacement","SOI_mean","count","Harm_Month"
1851,1,4148.60660743154,NA,248,0.523598775598299
1851,2,3491.72736933654,NA,224,1.0471975511966
1851,3,2148.29507509637,NA,248,1.5707963267949
1851,4,483.081876301859,NA,240,2.0943951023932
1851,5,1579.51048393545,NA,248,2.61799387799149
1851,6,4408.10554567558,NA,240,3.14159265358979
1851,7,4531.90561443078,NA,248,3.66519142918809
1851,8,2907.14797362377,NA,248,4.18879020478639
1851,9,1354.39859380157,NA,240,4.71238898038469
1851,10,2009.04493141311,NA,248,5.23598775598299
1851,11,3360.17663853353,NA,240,5.75958653158129
1851,12,4264.81754963415,NA,248,6.28318530717959
1852,1,3610.24177756328,NA,248,0.523598775598299
1852,2,3312.74864462519,NA,232,1.0471975511966
1852,3,2448.72085264312,NA,248,1.5707963267949
1852,4,974.869064829029,NA,240,2.0943951023932
1852,5,1693.24977535368,NA,248,2.61799387799149
1852,6,3342.27931445736,NA,240,3.14159265358979
1852,7,4481.39039906097,NA,248,3.66519142918809
1852,8,4092.08828275958,NA,248,4.18879020478639
1852,9,963.945196515841,NA,240,4.71238898038469
1852,10,1420.83909114211,NA,248,5.23598775598299
1852,11,3114.39861771291,NA,240,5.75958653158129
1852,12,4043.4760429761,NA,248,6.28318530717959
1853,1,4328.4170326882,NA,248,0.523598775598299
1853,2,3624.37513992951,NA,224,1.0471975511966
1853,3,2447.069938219,NA,248,1.5707963267949
1853,4,868.653123148784,NA,240,2.0943951023932
1853,5,2458.33607227866,NA,248,2.61799387799149
1853,6,4202.6731244249,NA,240,3.14159265358979
1853,7,4003.1011169566,NA,248,3.66519142918809
1853,8,2691.47218534237,NA,248,4.18879020478639
1853,9,926.028919294404,NA,240,4.71238898038469
1853,10,2659.01233008951,NA,248,5.23598775598299
1853,11,2872.71031988288,NA,240,5.75958653158129
1853,12,4137.15485445596,NA,248,6.28318530717959
1854,1,4610.8764624471,NA,248,0.523598775598299
1854,2,3186.89607366249,NA,224,1.0471975511966
1854,3,1817.9443578332,NA,248,1.5707963267949
1854,4,951.650888263381,NA,240,2.0943951023932
1854,5,850.543094311031,NA,248,2.61799387799149
1854,6,4111.99684831463,NA,240,3.14159265358979
1854,7,4724.58788577915,NA,248,3.66519142918809
1854,8,5672.51502685332,NA,248,4.18879020478639
1854,9,1209.23575199769,NA,240,4.71238898038469
1854,10,2381.29099065351,NA,248,5.23598775598299
1854,11,2789.05212220006,NA,240,5.75958653158129
1854,12,3478.00854706522,NA,248,6.28318530717959
1855,1,4890.97761173299,NA,248,0.523598775598299
1855,2,4140.42479434884,NA,224,1.0471975511966
1855,3,2623.66525990417,NA,248,1.5707963267949
1855,4,797.669573091233,NA,240,2.0943951023932
1855,5,1784.85773323983,NA,248,2.61799387799149
1855,6,1884.07292480566,NA,240,3.14159265358979
1855,7,4623.10354905029,NA,248,3.66519142918809
1855,8,5036.77688918524,NA,248,4.18879020478639
1855,9,1881.32541424003,NA,240,4.71238898038469
1855,10,1664.18135885197,NA,248,5.23598775598299
1855,11,2444.42987126152,NA,240,5.75958653158129
1855,12,3963.36501191078,NA,248,6.28318530717959
1856,1,4755.01596047104,NA,248,0.523598775598299
1856,2,3567.07514052364,NA,232,1.0471975511966
1856,3,3072.0152228884,NA,248,1.5707963267949
1856,4,2021.98278341989,NA,240,2.0943951023932
1856,5,2182.15039245553,NA,248,2.61799387799149
1856,6,5724.49023015127,NA,240,3.14159265358979
1856,7,4854.38997508158,NA,248,3.66519142918809
1856,8,2620.55290327554,NA,248,4.18879020478639
1856,9,1251.9890766772,NA,240,4.71238898038469
1856,10,2026.78004646964,NA,248,5.23598775598299
1856,11,3027.98015089662,NA,240,5.75958653158129
1856,12,4302.9326187535,NA,248,6.28318530717959
1857,1,5099.0616064843,NA,248,0.523598775598299
1857,2,3253.98766610673,NA,224,1.0471975511966
1857,3,2937.07456328907,NA,248,1.5707963267949
1857,4,1183.84071431631,NA,240,2.0943951023932
1857,5,2437.81847086347,NA,248,2.61799387799149
1857,6,4496.62087884172,NA,240,3.14159265358979
1857,7,4746.64023050205,NA,248,3.66519142918809
1857,8,2325.81512273759,NA,248,4.18879020478639
1857,9,1881.93610355125,NA,240,4.71238898038469
1857,10,1912.74809119714,NA,248,5.23598775598299
1857,11,2692.11962008879,NA,240,5.75958653158129
1857,12,3081.51136034525,NA,248,6.28318530717959
1858,1,4927.33721666612,NA,248,0.523598775598299
1858,2,3925.23613215569,NA,224,1.0471975511966
1858,3,2596.46586827305,NA,248,1.5707963267949
1858,4,316.789523841248,NA,240,2.0943951023932
1858,5,2174.17304212997,NA,248,2.61799387799149
1858,6,3224.92941273876,NA,240,3.14159265358979
1858,7,5361.81893798493,NA,248,3.66519142918809
1858,8,1647.42348261959,NA,248,4.18879020478639
1858,9,2278.69135409197,NA,240,4.71238898038469
1858,10,2197.65807593837,NA,248,5.23598775598299
1858,11,2950.1316545484,NA,240,5.75958653158129
1858,12,4001.93090211637,NA,248,6.28318530717959
1859,1,4049.43758174842,NA,248,0.523598775598299
1859,2,3167.89832355058,NA,224,1.0471975511966
1859,3,2331.7940612488,NA,248,1.5707963267949
1859,4,1085.414682992,NA,240,2.0943951023932
1859,5,2193.49206784262,NA,248,2.61799387799149
1859,6,3151.23853328278,NA,240,3.14159265358979
1859,7,3767.79964914277,NA,248,3.66519142918809
1859,8,3746.64854172958,NA,248,4.18879020478639
1859,9,2348.87407149292,NA,240,4.71238898038469
1859,10,1086.55562064651,NA,248,5.23598775598299
1859,11,3297.39378605478,NA,240,5.75958653158129
