Estuary,Year,Month,Day,displacement,count
Tuggerah_Lakes,1851,1,1,99.7359946879126,8
Tuggerah_Lakes,1851,1,2,127.915617498997,8
Tuggerah_Lakes,1851,1,3,116.765978178666,8
Tuggerah_Lakes,1851,1,4,131.886746717611,8
Tuggerah_Lakes,1851,1,5,95.9939883312825,8
Tuggerah_Lakes,1851,1,6,61.7813335993458,8
Tuggerah_Lakes,1851,1,7,82.7060372992304,8
Tuggerah_Lakes,1851,1,8,87.8226615121409,8
Tuggerah_Lakes,1851,1,9,129.442967415218,8
Tuggerah_Lakes,1851,1,10,118.675145122578,8
Tuggerah_Lakes,1851,1,11,109.816531707858,8
Tuggerah_Lakes,1851,1,12,120.431598057519,8
Tuggerah_Lakes,1851,1,13,111.191126719493,8
Tuggerah_Lakes,1851,1,14,114.474930751293,8
Tuggerah_Lakes,1851,1,15,94.3902692343516,8
Tuggerah_Lakes,1851,1,16,62.9268660895867,8
Tuggerah_Lakes,1851,1,17,54.373682172163,8
Tuggerah_Lakes,1851,1,18,81.1786880088909,8
Tuggerah_Lakes,1851,1,19,119.82067627571,8
Tuggerah_Lakes,1851,1,20,107.830957276491,8
Tuggerah_Lakes,1851,1,21,102.561597618194,8
Tuggerah_Lakes,1851,1,22,97.1395024433903,8
Tuggerah_Lakes,1851,1,23,105.081723413123,8
Tuggerah_Lakes,1851,1,24,109.205571505509,8
Tuggerah_Lakes,1851,1,25,119.056983600908,8
Tuggerah_Lakes,1851,1,26,102.943453976799,8
Tuggerah_Lakes,1851,1,27,70.5635995258115,8
Tuggerah_Lakes,1851,1,28,81.1786883502797,8
Tuggerah_Lakes,1851,1,29,94.7721086941767,8
Tuggerah_Lakes,1851,1,30,119.362453609757,8
Tuggerah_Lakes,1851,1,31,69.6472066540879,8
Tuggerah_Lakes,1851,2,1,130.283011717621,8
Tuggerah_Lakes,1851,2,2,158.844466734005,8
Tuggerah_Lakes,1851,2,3,132.65042182508,8
Tuggerah_Lakes,1851,2,4,123.562666174523,8
Tuggerah_Lakes,1851,2,5,72.7782772461655,8
Tuggerah_Lakes,1851,2,6,81.865993779178,8
