Parameter,.value,.lower,.upper,.width,.point,.interval
Dist,0.04608174,0.00102483,0.093836028,0.95,median,qi
Down * Dist,-0.937846093,-2.154051108,0.214621114,0.95,median,qi
Down (quadratic) * Dist,1.524280293,0.143386402,2.979646423,0.95,median,qi
Down * Up * Dist,-0.057939417,-0.116136794,-0.003453363,0.95,median,qi
Intercept,-3.223114327,-3.95129697,-2.457182163,0.95,median,qi
Up,-14.31380633,-25.19058492,-3.784586927,0.95,median,qi
Up * Dist,1.009214135,0.074709678,1.973762075,0.95,median,qi
Up (quadratic),-20.96117308,-34.82663621,-7.469190097,0.95,median,qi
Up (quadratic) * Dist,1.479325961,0.321278764,2.721066322,0.95,median,qi
Down,15.7370278,2.962172103,28.91600523,0.95,median,qi
Down (quadratic),-12.36491377,-27.9532699,2.680399035,0.95,median,qi
Down * Up,0.507199686,-0.099934936,1.123580837,0.95,median,qi
