year,month,Monthly_Rain,count,,,,,,,
1993,8,67,31,,,,2000,139.8,,
1993,9,183,30,,,,2001,257,,
1993,10,67.6,31,,,,2002,143.4,,
1993,11,66,30,,,,,,,
1993,12,30.8,31,,,,,,,
1994,1,27.8,31,,,,,,,
1994,2,96.8,28,,,,,,,
1994,3,152.6,31,,,,,,,
1994,4,43,30,,,,,,,
1994,5,19.1,31,,,,,,,
1994,6,103.9,30,,,,,,,
1994,7,2.2,31,,,,,,,
1994,8,17.4,31,,,,,,,
1994,9,27.5,30,,,,,,,
1994,10,34,31,,,,,,,
1994,11,64,30,,,,,,,
1994,12,55.2,31,,,,,,,
1995,1,207.8,31,,,,,,,
1995,2,71.2,28,,,,,,,
1995,3,185,31,,,,,,,
1995,4,6.6,30,,,,,,,
1995,5,320.8,31,,,,,,,
1995,6,29.4,30,,,,,,,
1995,7,1.8,31,,,,,,,
1995,8,0.2,31,,,,,,Bream,
1995,9,201,30,,,,,1997,1995,432.2
1995,10,90.2,31,,,,,1998,1996,442.7
1995,11,112.3,30,,,,,1999,1997,472.2
1995,12,86.1,31,,,,,2000,1998,319.6
1996,1,105.3,31,,,,,2001,1999,498.2
1996,2,48.8,29,,,,,2002,2000,391.6
1996,3,23.9,31,,,,,2003,2001,481.4
1996,4,39.9,30,,,,,2004,2002,615.6
1996,5,207.4,31,,,,,2005,2003,246.8
1996,6,89.7,30,,,,,2006,2004,369.2
1996,7,45.8,31,,,,,,,
1996,8,147.1,31,,,,,,,
1996,9,110.1,30,,,,,,,
1996,10,47.2,31,,,,,,,
1996,11,62.4,30,,,,,,,
1996,12,60.6,31,,,,,,,
1997,1,148.8,30,,,,,,,
1997,2,153.2,28,,,,,,,
1997,3,64.8,31,,,,,,,
1997,4,4.2,30,,,,,,,
1997,5,70.4,31,,,,,,,
1997,6,86.6,30,,,,,,,
1997,7,46.2,31,,,,,,,
1997,8,24,31,,,,,,,
1997,9,91,30,,,,,,,
1997,10,86.8,31,,,,,,,
1997,11,32.2,30,,,,,,,
1997,12,40,31,,,,,,,
1998,1,101.8,31,,,,,,,
1998,2,58.8,28,,,,,,,
1998,3,37,31,,,,,,,
1998,4,79.2,30,,,,,,,
1998,5,133.2,31,,,,,,,
1998,6,117.6,30,,,,,,,
1998,7,91.6,31,,,,,,,
1998,8,784.4,31,,,,,,,
1998,9,89,30,,,,,,,
1998,10,23.8,31,,,,,,,
1998,11,120.8,30,,,,,,,
1998,12,25,31,,,,,,,
1999,1,169.2,31,,,,,,,
1999,2,159.4,28,,,,,,,
1999,3,81.8,31,,,,,,,
1999,4,76.4,30,,,,,,,
1999,5,38,31,,,,,,,
1999,6,68.6,30,,,,,,,
1999,7,184.4,31,,,,,,,
1999,8,29.4,31,,,,,,,
1999,9,30.4,30,,,,,,,
1999,10,198.6,31,,,,,,,
1999,11,40.2,30,,,,,,,
1999,12,100.4,31,,,,,,,
2000,1,31.4,31,,,,,,,
2000,2,21,29,,,,,,,
2000,3,165.2,31,,,,,,,
2000,4,46.2,30,,,,,,,
2000,5,29,30,,,,,,,
2000,6,32.2,30,,,,,,,
2000,7,32.4,31,,,,,,,
2000,8,41.2,30,,,,,,,
2000,9,54.6,30,,,,,,,
2000,10,79.4,30,,,,,,,
2000,11,183.6,29,,,,,,,
2000,12,36.6,30,,,,,,,
2001,1,68,31,,,,,,,
2001,2,113.8,28,,,,,,,
2001,3,161.6,31,,,,,,,
2001,4,60.2,30,,,,,,,
2001,5,53,31,,,,,,,
2001,6,11.2,30,,,,,,,
2001,7,132.6,31,,,,,,,
2001,8,47.6,31,,,,,,,
2001,9,15.2,30,,,,,,,
2001,10,31.8,31,,,,,,,
2001,11,91.2,30,,,,,,,
2001,12,63,31,,,,,,,
2002,1,61.6,31,,,,,,,
2002,2,368,27,,,,,,,
2002,3,199.8,30,,,,,,,
2002,4,22.8,30,,,,,,,
2002,5,45.8,31,,,,,,,
2002,6,12.8,30,,,,,,,
2002,7,62,31,,,,,,,
2002,8,14.6,31,,,,,,,
2002,9,7.2,30,,,,,,,
2002,10,21.8,31,,,,,,,
2002,11,13,30,,,,,,,
2002,12,58.8,31,,,,,,,
2003,1,45.2,31,,,,,,,
2003,2,108,28,,,,,,,
2003,3,89.2,31,,,,,,,
2003,4,199.2,30,,,,,,,
2003,5,343.6,30,,,,,,,
2003,6,93.2,30,,,,,,,
2003,7,13.2,31,,,,,,,
2003,8,35.6,31,,,,,,,
2003,9,4.8,30,,,,,,,
2003,10,57.2,31,,,,,,,
2003,11,100.4,30,,,,,,,
2003,12,29.8,31,,,,,,,
2004,1,70.6,30,,,,,,,
2004,2,111.2,29,,,,,,,
2004,3,109.8,31,,,,,,,
2004,4,282,30,,,,,,,
2004,5,4.2,31,,,,,,,
2004,6,18,30,,,,,,,
2004,7,40.6,31,,,,,,,
2004,8,40.6,31,,,,,,,
2004,9,57.8,30,,,,,,,
2004,10,233.8,30,,,,,,,
2004,11,62.8,30,,,,,,,
2004,12,93.2,31,,,,,,,
2005,1,69,31,,,,,,,
2005,2,72.6,28,,,,,,,
2005,3,56.2,30,,,,,,,
2005,4,24,29,,,,,,,
2005,5,31,31,,,,,,,
2005,6,64,30,,,,,,,
2005,7,178.4,31,,,,,,,
2005,8,3.6,31,,,,,,,
2005,9,52,29,,,,,,,
2005,10,55.6,31,,,,,,,
2005,11,211.2,30,,,,,,,
2005,12,37.8,31,,,,,,,
2006,1,132.6,31,,,,,,,
2006,2,57.8,28,,,,,,,
2006,3,19.6,31,,,,,,,
2006,4,1.6,30,,,,,,,
2006,5,39,31,,,,,,,
2006,6,78,30,,,,,,,
2006,7,56.8,31,,,,,,,
2006,8,22.6,31,,,,,,,
2006,9,151.4,30,,,,,,,
2006,10,13.4,31,,,,,,,
2006,11,32.2,29,,,,,,,
2006,12,86.6,31,,,,,,,
2007,1,26,31,,,,,,,
2007,2,154.4,28,,,,,,,
2007,3,94.8,30,,,,,,,
2007,4,163.2,29,,,,,,,
2007,5,23.8,30,,,,,,,
2007,6,293.6,30,,,,,,,
2007,7,24.2,31,,,,,,,
2007,8,105.2,31,,,,,,,
2007,9,49.4,30,,,,,,,
2007,10,22.1,31,,,,,,,
2007,11,124.2,30,,,,,,,
2007,12,190.2,28,,,,,,,
2008,1,99.4,31,,,,,,,
2008,2,388.4,24,,,,,,,
2008,3,55,28,,,,,,,
2008,4,96,30,,,,,,,
2008,5,10,31,,,,,,,
2008,6,107.8,30,,,,,,,
2008,7,35,31,,,,,,,
2008,8,35.6,28,,,,,,,
2008,9,49,30,,,,,,,
2008,10,65.8,28,,,,,,,
2008,11,36.4,30,,,,,,,
2008,12,85.6,30,,,,,,,
2009,1,26,30,,,,,,,
2009,2,120.2,22,,,,,,,
2009,3,21,29,,,,,,,
2009,4,146.4,29,,,,,,,
2009,5,111.4,31,,,,,,,
2009,6,82.2,29,,,,,,,
2009,7,56.8,31,,,,,,,
2009,8,6.6,31,,,,,,,
2009,9,14,30,,,,,,,
2009,10,87.6,27,,,,,,,
2009,11,62.8,29,,,,,,,
2009,12,63.6,31,,,,,,,
2010,1,45.2,31,,,,,,,
2010,2,235.8,27,,,,,,,
2010,3,139.8,30,,,,,,,
2010,4,31.6,30,,,,,,,
2010,5,87.2,31,,,,,,,
2010,6,65.2,28,,,,,,,
2010,7,64.8,31,,,,,,,
2010,8,34.8,30,,,,,,,
2010,9,109.8,28,,,,,,,
2010,10,65.2,24,,,,,,,
2010,11,127.8,27,,,,,,,
2010,12,131.6,30,,,,,,,
2011,1,56.2,30,,,,,,,
2011,2,41.2,27,,,,,,,
2011,3,236.2,29,,,,,,,
2011,4,72,19,,,,,,,
2011,5,60.6,31,,,,,,,
2011,6,92,30,,,,,,,
2011,7,149,31,,,,,,,
2011,8,51.4,29,,,,,,,
2011,9,81,26,,,,,,,
2011,10,117.2,26,,,,,,,
2011,11,170.2,27,,,,,,,
2011,12,83,23,,,,,,,
2012,1,214.6,29,,,,,,,
2012,2,310,21,,,,,,,
2012,3,226.2,30,,,,,,,
2012,4,0,9,,,,,,,
2012,5,16,31,,,,,,,
2012,6,137.6,18,,,,,,,
2012,7,30,31,,,,,,,
2012,8,10.8,30,,,,,,,
2012,9,16,30,,,,,,,
2012,10,77.6,29,,,,,,,
2012,11,73,24,,,,,,,
2012,12,15,30,,,,,,,
2013,1,210.2,31,,,,,,,
2013,2,98.8,20,,,,,,,
2013,3,48.8,31,,,,,,,
2013,4,119,26,,,,,,,
2013,5,133.6,30,,,,,,,
2013,6,172,30,,,,,,,
2013,7,7.8,31,,,,,,,
2013,8,0,31,,,,,,,
2013,9,53.6,30,,,,,,,
2013,10,1.4,31,,,,,,,
2013,11,167.6,21,,,,,,,
2013,12,68.2,31,,,,,,,
2014,1,39.6,30,,,,,,,
2014,2,42,15,,,,,,,
2014,3,175.2,30,,,,,,,
2014,4,62.4,30,,,,,,,
2014,5,1.2,31,,,,,,,
2014,6,48.4,30,,,,,,,
2014,7,1.6,31,,,,,,,
2014,8,107,29,,,,,,,
2014,9,19.2,30,,,,,,,
2014,10,39.6,31,,,,,,,
2014,11,36.8,29,,,,,,,
2014,12,80.4,29,,,,,,,
2015,1,88.2,25,,,,,,,
2015,2,75.8,27,,,,,,,
2015,3,28.6,26,,,,,,,
2015,4,210.2,27,,,,,,,
2015,5,60.8,31,,,,,,,
2015,6,38,26,,,,,,,
2015,7,22.4,31,,,,,,,
2015,8,81.8,26,,,,,,,
2015,9,41.2,16,,,,,,,
2015,10,27.4,30,,,,,,,
2015,11,125.8,29,,,,,,,
2015,12,69.2,31,,,,,,,
2016,1,196.8,31,,,,,,,
2016,2,56.8,29,,,,,,,
2016,3,105,31,,,,,,,
2016,4,39.2,30,,,,,,,
2016,5,12.8,30,,,,,,,
2016,6,102.6,28,,,,,,,
2016,7,44.8,27,,,,,,,
2016,8,98,31,,,,,,,
2016,9,54.6,29,,,,,,,
2016,10,14.8,31,,,,,,,
2016,11,43,30,,,,,,,
2016,12,57.6,31,,,,,,,
2017,1,57,29,,,,,,,
2017,2,124.2,25,,,,,,,
2017,3,284,31,,,,,,,
2017,4,49.8,30,,,,,,,
2017,5,42,31,,,,,,,
2017,6,109.4,30,,,,,,,
2017,7,3.2,31,,,,,,,
2017,8,32,31,,,,,,,
2017,9,0.6,30,,,,,,,
2017,10,49,31,,,,,,,
2017,11,84.8,29,,,,,,,
2017,12,79,31,,,,,,,
2018,1,53.6,31,,,,,,,
2018,2,81.4,27,,,,,,,
2018,3,107.2,31,,,,,,,
2018,4,33,30,,,,,,,
2018,5,8.6,30,,,,,,,
2018,6,101.6,29,,,,,,,
2018,7,0.4,31,,,,,,,
2018,8,17,31,,,,,,,
2018,9,55.2,30,,,,,,,
2018,10,134.4,31,,,,,,,
2018,11,116.8,30,,,,,,,
2018,12,89.2,31,,,,,,,
2019,1,74.4,31,,,,,,,
2019,2,62,28,,,,,,,
2019,3,161.8,31,,,,,,,
2019,4,41.8,30,,,,,,,
