year,month,Monthly_Rain,count,,,,,,,
1944,2,20.9,29,,,,,,,
1944,3,36.3,31,,,,,,,
1944,4,58.7,30,,,,,,,
1944,5,103.1,31,,,,,,,
1944,6,48.2,30,,,,,,,
1944,7,43.3,31,,,,,,,
1944,8,107.6,31,,,,,,,
1944,9,42.6,30,,,,,,,
1944,10,27.6,31,,,,,,,
1944,11,23.4,30,,,,,,,
1944,12,23.4,31,,,,,,,
1945,1,107.2,31,,,,,,,
1945,2,71.1,28,,,,,,,
1945,3,42.9,31,,,,,,,
1945,4,476.6,30,,,,,,,
1945,5,95.3,31,,,,,,,
1945,6,252.7,30,,,,,,,
1945,7,53.6,31,,,,,,,
1945,8,17.8,31,,,,,,,
1945,9,4.8,30,,,,,,,
1945,10,22.6,31,,,,,,,
1945,11,54.1,30,,,,,,,
1945,12,56.4,31,,,,,,,
1946,1,21.6,31,,,,,,,
1946,2,87.2,28,,,,,,,
1946,3,71.9,31,,,,,,,
1946,4,288.6,30,,,,,,,
1946,5,39.4,31,,,,,,,
1946,6,147.9,30,,,,,,,
1946,7,0,31,,,,,,,
1946,8,0,31,,,,,,,
1946,9,25.1,30,,,,,,,
1946,10,109.7,31,,,,,,,
1946,11,240,30,,,,,,,
1946,12,8.8,31,,,,,,,
1947,1,60.2,31,,,,,,,
1947,2,170.9,28,,,,,,,
1947,3,44.9,31,,,,,,,
1947,4,142.1,29,,,,,,,
1947,5,48.8,31,,,,,,,
1947,6,81.6,30,,,,,,,
1947,7,10.7,31,,,,,,,
1947,8,45.7,31,,,,,,,
1947,9,22.1,30,,,,,,,
1947,10,85.9,31,,,,,,,
1947,11,135.4,30,,,,,,,
1947,12,355.5,31,,,,,,,
1948,1,231.2,30,,,,,,,
1948,2,102.8,29,,,,,,,
1948,3,113.8,31,,,,,,,
1948,4,18.8,30,,,,,,,
1948,5,192.6,31,,,,,,,
1948,6,237,30,,,,,,,
1948,7,13.5,31,,,,,,,
1948,8,15.7,31,,,,,,,
1948,9,32.2,30,,,,,,,
1948,10,23.1,31,,,,,,,
1948,11,28,30,,,,,,,
1948,12,65.8,31,,,,,,,
1949,1,215.8,29,,,,,,,
1949,2,136.3,28,,,,,,,
1949,3,157.2,31,,,,,,,
1949,4,37,30,,,,,,,
1949,5,144.7,30,,,,,,,
1949,6,458.9,28,,,,,,,
1949,7,28.9,31,,,,,,,
1949,8,41.6,31,,,,,,,
1949,9,131.2,30,,,,,,,
1949,10,74.3,31,,,,,,,
1949,11,103.9,30,,,,,,,
1949,12,55.5,31,,,,,,,
1950,1,204.4,31,,,,,,,
1950,2,253.9,26,,,,,,,
1950,3,332.3,31,,,,,,,
1950,4,265,30,,,,,,,
1950,5,193.8,31,,,,,,,
1950,6,584.8,28,,,,,,,
1950,7,330.8,30,,,,,,,
1950,8,62.7,30,,,,,,,
1950,9,178.9,28,,,,,,,
1950,10,176.8,29,,,,,,,
1950,11,126.5,30,,,,,,,
1950,12,22.9,31,,,,,,,
1951,1,395.9,31,,,,,,,
1951,2,137.3,28,,,,,,,
1951,3,109.1,30,,,,,,,
1951,4,42.1,30,,,,,,,
1951,5,142.7,31,,,,,,,
1951,6,329.9,30,,,,,,,
1951,7,40.9,31,,,,,,,
1951,8,70.2,31,,,,,,,
1951,9,172.9,29,,,,,,,
1951,10,24.9,31,,,,,,,
1951,11,10.6,30,,,,,,,
1951,12,27.4,31,,,,,,,
1952,1,54.8,30,,,,,,,
1952,2,44.7,29,,,,,,,
1952,3,158.9,31,,,,,,,
1952,4,390.9,29,,,,,,,
1952,5,60,31,,,,,,,
1952,6,356.4,30,,,,,,,
1952,7,201.6,30,,,,,,,
1952,8,365.7,31,,,,,,,
1952,9,17.3,30,,,,,,,
1952,10,166.4,31,,,,,,,
1952,11,59.4,30,,,,,,,
1952,12,111.6,31,,,,,,,
1953,1,119.7,31,,,,,,,
1953,2,81,28,,,,,,,
1953,3,180,31,,,,,,,
1953,4,13.2,30,,,,,,,
1953,5,321.5,30,,,,,,,
1953,6,0.5,30,,,,,,,
1953,7,30.5,31,,,,,,,
1953,8,48.2,31,,,,,,,
1953,9,66.6,30,,,,,,,
1953,10,67,31,,,,,,,
1953,11,32.6,30,,,,,,,
1953,12,16.8,31,,,,,,,
1954,1,174,30,,,,,,,
1954,2,322,26,,,,,,,
1954,3,53.8,31,,,,,,,
1954,4,57.8,30,,,,,,,
1954,5,21.4,31,,,,,,,
1954,6,11.2,30,,,,,,,
1954,7,53.8,31,,,,,,,
1954,8,55.7,31,,,,,,,
1954,9,70.5,30,,,,,,,
1954,10,177.1,30,,,,,,,
1954,11,111.9,30,,,,,,,
1954,12,63.9,31,,,,,,,
1955,1,177.4,31,,,,,,,
1955,2,298,28,,,,,,,
1955,3,180.3,31,,,,,,,
1955,4,116,30,,,,,,,
1955,5,241.1,31,,,,,,,
1955,6,41.2,29,,,,,,,
1955,7,29.2,31,,,,,,,
1955,8,14.7,31,,,,,,,
1955,9,39.4,30,,,,,,,
1955,10,58.4,31,,,,,,,
1955,11,158.5,29,,,,,,,
1955,12,159.5,31,,,,,,,
1956,1,115.6,31,,,,,,,
1956,2,659,29,,,,,,,
1956,3,365,31,,,,,,,
1956,4,44.7,29,,,,,,,
1956,5,101.8,30,,,,,,,
1956,6,208.3,28,,,,,,,
1956,7,60.5,31,,,,,,,
1956,8,70.9,31,,,,,,,
1956,9,41,29,,,,,,,
1956,10,89.3,30,,,,,,,
1956,11,24.1,30,,,,,,,
1956,12,45.2,31,,,,,,,
1957,1,58.7,31,,,,,,,
1957,2,164,28,,,,,,,
1957,3,79.1,31,,,,,,,
1957,4,15.6,30,,,,,,,
1957,5,1.8,31,,,,,,,
1957,6,68.5,30,,,,,,,
1957,7,133.7,31,,,,,,,
1957,8,127,31,,,,,,,
1957,9,10.4,30,,,,,,,
1957,10,31.5,31,,,,,,,
1957,11,19.8,30,,,,,,,
1957,12,95.9,31,,,,,,,
