term,estimate,std.error
b_Intercept,-3.068773773272831,0.38360112630129894
b_polyNE_Winds.standardiseddegreeEQ21,-9.00685137743493,5.466163153583131
b_polyNE_Winds.standardiseddegreeEQ22,-13.633938730739708,6.857798608076079
b_dists_km,0.03353649406389832,0.02547670365454735
b_polySE_Winds.standardiseddegreeEQ21,9.3152049022312209,6.506295070759624
b_polySE_Winds.standardiseddegreeEQ22,-9.983560096980955,8.288618974589765
b_polyNE_Winds.standardiseddegreeEQ21:dists_km,0.5080493932103807,0.48604980623398664
b_polyNE_Winds.standardiseddegreeEQ22:dists_km,0.8388367745444032,0.5902873225618521
b_dists_km:polySE_Winds.standardiseddegreeEQ21,-0.3313562383806964,0.571328886050602
b_dists_km:polySE_Winds.standardiseddegreeEQ22,1.2367104392026147,0.7606420013771338
b_SE_Winds.standardised:NE_Winds.standardised,0.3241627500218789,0.33124399867441023
b_dists_km:SE_Winds.standardised:NE_Winds.standardised,-0.041681594782260294,0.0301454231074125
sd_Project_ID__Intercept,0.541343273561113,0.26989836556528124
shape,0.5986066834657247,0.020232558891520536
hu,0.13520179260633025,0.00882064130321512
"r_Project_ID[P10,Intercept]",0.4792457549239615,0.35922822203103877
"r_Project_ID[P11,Intercept]",0.5384268528127537,0.4059727529759045
"r_Project_ID[P12_PH,Intercept]",0.25376535497533237,0.3030587058898583
"r_Project_ID[P3,Intercept]",-0.37773534496013766,0.26446826623967284
"r_Project_ID[P4,Intercept]",-0.5036152807809393,0.2802952808064719
"r_Project_ID[P6,Intercept]",-0.14911954241786063,0.2769246684131254
"r_Project_ID[P8,Intercept]",-0.17483452014444592,0.3418746908465718
