term,estimate,std.error
b_Intercept,-3.207272311354297,0.19097993769354568
b_polyNE_Winds.standardiseddegreeEQ21,-6.633860523580008,2.0302270416590984
b_polyNE_Winds.standardiseddegreeEQ22,-5.896879554480767,1.95135545144729
b_dists_km.standardised,0.3388036574904959,0.10305089267378706
b_polySE_Winds.standardiseddegreeEQ21,11.104638604954193,2.51173708313301
b_polySE_Winds.standardiseddegreeEQ22,-2.484210051593572,2.355685875935516
b_polyNE_Winds.standardiseddegreeEQ21:dists_km.standardised,15.671299046284137,3.5035942482431355
b_polyNE_Winds.standardiseddegreeEQ22:dists_km.standardised,13.675538530366929,3.133580761208356
b_dists_km.standardised:polySE_Winds.standardiseddegreeEQ21,-14.274693938096503,4.971965791057099
b_dists_km.standardised:polySE_Winds.standardiseddegreeEQ22,10.793854055659263,4.695118764154792
b_SE_Winds.standardised:NE_Winds.standardised,0.013153873398300856,0.06586181464042908
b_dists_km.standardised:SE_Winds.standardised:NE_Winds.standardised,-0.3437200058628235,0.13305411497583006
sd_Project_ID__Intercept,0.35176850162278417,0.22458235416399636
shape,0.5892397795572842,0.01983269282643948
hu,0.15085328042475432,0.009278300563133082
"r_Project_ID[P10,Intercept]",0.2957691948202123,0.2948974487676701
"r_Project_ID[P11,Intercept]",0.24826499558205684,0.36881099988478117
"r_Project_ID[P12_PH,Intercept]",0.08279008159232105,0.2283482640437669
"r_Project_ID[P3,Intercept]",-0.23350252200074048,0.19438045237140236
"r_Project_ID[P4,Intercept]",-0.3036646001949026,0.2090144459068761
"r_Project_ID[P6,Intercept]",-0.07657218292638182,0.20622018344064835
"r_Project_ID[P8,Intercept]",0.010258316618948975,0.2506403300223567
