term,estimate,std.error
b_Intercept,-3.0599631132399283,0.23319198280317496
b_polyNE_Winds.standardiseddegreeEQ21,-4.240356021144497,2.472589863532929
b_polyNE_Winds.standardiseddegreeEQ22,-7.128060666794857,2.2956475506667
b_dists_km.standardised,0.07362730957530982,0.19513380804331243
b_polySE_Winds.standardiseddegreeEQ21,8.360841676985359,3.0236278997830763
b_polySE_Winds.standardiseddegreeEQ22,-0.6332122819557325,2.596661445727759
b_polyNE_Winds.standardiseddegreeEQ21:dists_km.standardised,6.4374294472758375,3.843466405556542
b_polyNE_Winds.standardiseddegreeEQ22:dists_km.standardised,2.6308497414662417,4.50429252422442
b_dists_km.standardised:polySE_Winds.standardiseddegreeEQ21,-3.192709389191802,4.229709375574948
b_dists_km.standardised:polySE_Winds.standardiseddegreeEQ22,5.442356731297931,5.715022903607177
b_SE_Winds.standardised:NE_Winds.standardised,6.328574280154561e-4,0.10257367477529025
b_dists_km.standardised:SE_Winds.standardised:NE_Winds.standardised,-0.024968494124543744,0.22524229391162612
sd_Project_ID__Intercept,0.42969457745982065,0.24263535686292298
shape,0.5803346297153351,0.019352571882570585
hu,0.15082095880826962,0.009302558961779459
"r_Project_ID[P10,Intercept]",0.3490563882478608,0.32396000567752575
"r_Project_ID[P11,Intercept]",0.41432041305827616,0.3879397252914199
"r_Project_ID[P12_PH,Intercept]",-0.02324220283610937,0.27150221546342806
"r_Project_ID[P3,Intercept]",-0.34950020393555914,0.2291086927447985
"r_Project_ID[P4,Intercept]",-0.37439873084420106,0.25220026341716595
"r_Project_ID[P6,Intercept]",-0.03719334473154751,0.24062647029374548
"r_Project_ID[P8,Intercept]",0.04350427208785024,0.29704265785765627
