term,estimate,std.error
b_Intercept,-3.0668462392236977,0.37644304703133735
b_polyNE_Winds.standardiseddegreeEQ21,-9.452821886872336,5.344786098830581
b_polyNE_Winds.standardiseddegreeEQ22,-14.405203591610128,6.896727772975615
b_dists_km,0.0331395172159749,0.02497660960760622
b_polySE_Winds.standardiseddegreeEQ21,9.915273788464935,6.415406709689677
b_polySE_Winds.standardiseddegreeEQ22,-9.577293497790976,8.131030831405035
b_polyNE_Winds.standardiseddegreeEQ21:dists_km,0.5506123134208343,0.4714742126460007
b_polyNE_Winds.standardiseddegreeEQ22:dists_km,0.9151143672653068,0.59569953659178
b_dists_km:polySE_Winds.standardiseddegreeEQ21,-0.38467236315694,0.5651204088502617
b_dists_km:polySE_Winds.standardiseddegreeEQ22,1.1950639688484923,0.7453128274560771
b_SE_Winds.standardised:NE_Winds.standardised,0.33125937660739035,0.32568527621748017
b_dists_km:SE_Winds.standardised:NE_Winds.standardised,-0.04209065786111302,0.02959788876349685
sd_Project_ID__Intercept,0.5293496872930837,0.27333817456683734
shape,0.5981757161997844,0.01984120272190153
hu,0.13534873679689813,0.008792781303583715
"r_Project_ID[P10,Intercept]",0.48685927495330583,0.35347734343067977
"r_Project_ID[P11,Intercept]",0.5197713605591079,0.40529980292952966
"r_Project_ID[P12_PH,Intercept]",0.2573267288310493,0.3007633639796994
"r_Project_ID[P3,Intercept]",-0.37763319904631065,0.2614756815297693
"r_Project_ID[P4,Intercept]",-0.47892675855968214,0.27724524761772856
"r_Project_ID[P6,Intercept]",-0.16303659423701877,0.2746640253231978
"r_Project_ID[P8,Intercept]",-0.1681396503897642,0.33859817264237796
