term,estimate,std.error
b_Intercept,-3.0790752649085675,0.23484163365093505
b_polyNE_Winds.standardiseddegreeEQ21,-5.014916901986888,2.4302269492389836
b_polyNE_Winds.standardiseddegreeEQ22,-7.615636631336031,2.23183440124324
b_dists_km.standardised,0.236093599856821,0.18145296263954472
b_polySE_Winds.standardiseddegreeEQ21,9.001810966853,2.934927031704065
b_polySE_Winds.standardiseddegreeEQ22,-0.09490582750113882,2.436318311728956
b_polyNE_Winds.standardiseddegreeEQ21:dists_km.standardised,8.556743047128199,3.7382239301247573
b_polyNE_Winds.standardiseddegreeEQ22:dists_km.standardised,8.209686753039637,4.723478327857359
b_dists_km.standardised:polySE_Winds.standardiseddegreeEQ21,-6.10553817793512,4.578031221106877
b_dists_km.standardised:polySE_Winds.standardiseddegreeEQ22,9.111361491489472,5.5160585811896885
b_SE_Winds.standardised:NE_Winds.standardised,0.0030502920356814105,0.09556772813747279
b_dists_km.standardised:SE_Winds.standardised:NE_Winds.standardised,-0.20704505747539373,0.21925899078458025
sd_Project_ID__Intercept,0.40924458828356947,0.32130497895304294
shape,0.5813778197821219,0.019408990823049223
hu,0.15086999591462202,0.00932032976597913
"r_Project_ID[P10,Intercept]",0.3514096629673368,0.32368715402096565
"r_Project_ID[P11,Intercept]",0.3555087048499176,0.38000554567792216
"r_Project_ID[P12_PH,Intercept]",-0.0022212206151260546,0.26421148700839514
"r_Project_ID[P3,Intercept]",-0.35063961160523427,0.23136023390240343
"r_Project_ID[P4,Intercept]",-0.306538125966751,0.24185159057313174
"r_Project_ID[P6,Intercept]",-0.08008394417354597,0.24347128850175515
"r_Project_ID[P8,Intercept]",0.014039938286115917,0.28961892857455085
