term,estimate,std.error
b_Intercept,-3.090233579462069,0.3838637860279124
b_polyNE_Winds.standardiseddegreeEQ21,-7.890776408882393,5.427657831035996
b_polyNE_Winds.standardiseddegreeEQ22,-13.297113537735076,6.921344645226095
b_dists_km,0.035138026988365476,0.02583651035325887
b_polySE_Winds.standardiseddegreeEQ21,8.94685284369799,6.561669762835223
b_polySE_Winds.standardiseddegreeEQ22,-11.12340436105047,8.42519538128528
b_polyNE_Winds.standardiseddegreeEQ21:dists_km,0.4405000715709845,0.4803811168920866
b_polyNE_Winds.standardiseddegreeEQ22:dists_km,0.7935448775511725,0.5926405767848771
b_dists_km:polySE_Winds.standardiseddegreeEQ21,-0.30308768632797467,0.5685609655576016
b_dists_km:polySE_Winds.standardiseddegreeEQ22,1.3255905244706598,0.7757316953792271
b_SE_Winds.standardised:NE_Winds.standardised,0.3474488730161298,0.3358313105451667
b_dists_km:SE_Winds.standardised:NE_Winds.standardised,-0.043200399450963864,0.03057548407509827
sd_Project_ID__Intercept,0.5508213535612891,0.2759680926218407
shape,0.5978695335099354,0.01983356843914826
hu,0.1353373092464354,0.008900578266928475
"r_Project_ID[P10,Intercept]",0.47470981326590245,0.3641922198046839
"r_Project_ID[P11,Intercept]",0.5617888439023138,0.40908244076082806
"r_Project_ID[P12_PH,Intercept]",0.24727499893639737,0.30996035816158884
"r_Project_ID[P3,Intercept]",-0.3647668484617939,0.27130631174714614
"r_Project_ID[P4,Intercept]",-0.5186944695600345,0.2881401231565314
"r_Project_ID[P6,Intercept]",-0.1537102570574556,0.28283593541870083
"r_Project_ID[P8,Intercept]",-0.17258398346194598,0.3493638325619976
