term,estimate,std.error
b_Intercept,-3.0442328369085754,0.2836119213073118
b_polyNE_Winds.standardiseddegreeEQ21,-19.663905539826764,4.622235065975464
b_polyNE_Winds.standardiseddegreeEQ22,-16.557819389262185,4.392034432924057
b_dists_km,0.01590415891182212,0.011263097530928053
b_polySE_Winds.standardiseddegreeEQ21,16.67924171752605,7.033058603792234
b_polySE_Winds.standardiseddegreeEQ22,-3.6737329039929794,6.656484882059266
b_polyNE_Winds.standardiseddegreeEQ21:dists_km,1.17820456358577,0.43411838193964225
b_polyNE_Winds.standardiseddegreeEQ22:dists_km,1.2110250417654935,0.36774254511419857
b_dists_km:polySE_Winds.standardiseddegreeEQ21,-0.5621642789896292,0.6272175667167884
b_dists_km:polySE_Winds.standardiseddegreeEQ22,0.2592987000749366,0.5539467863245274
b_SE_Winds.standardised:NE_Winds.standardised,0.2653805349054441,0.1698565553827147
b_dists_km:SE_Winds.standardised:NE_Winds.standardised,-0.026876854955719245,0.014569886585819529
sd_Project_ID__Intercept,0.5151469727540943,0.24441773128149832
shape,0.6086732945989943,0.020373171614402903
hu,0.1353004383635255,0.008799632931163016
"r_Project_ID[P10,Intercept]",0.4544620520018572,0.35087477803814127
"r_Project_ID[P11,Intercept]",0.24504154886007126,0.39188044200516486
"r_Project_ID[P12_PH,Intercept]",0.4777886298007351,0.29454576394888105
"r_Project_ID[P3,Intercept]",-0.29579217831378957,0.25341931916791566
"r_Project_ID[P4,Intercept]",-0.48550568093870705,0.261897615497758
"r_Project_ID[P6,Intercept]",-0.30323955497156324,0.270377311481529
"r_Project_ID[P8,Intercept]",-0.08313790077688459,0.3193828495185134
