term,estimate,std.error
b_Intercept,-3.1144054259280227,0.2264637535082171
b_polyNE_Winds.standardiseddegreeEQ21,-7.348179558043909,2.3133658960893353
b_polyNE_Winds.standardiseddegreeEQ22,-7.740497034745012,2.069599469504026
b_dists_km.standardised,0.17027878348583358,0.17288572323813353
b_polySE_Winds.standardiseddegreeEQ21,11.390888671265937,2.7878324349617754
b_polySE_Winds.standardiseddegreeEQ22,-0.06079163234862506,2.5523051614832175
b_polyNE_Winds.standardiseddegreeEQ21:dists_km.standardised,11.794567029903737,3.641715359352772
b_polyNE_Winds.standardiseddegreeEQ22:dists_km.standardised,8.284952413423806,3.966740694821751
b_dists_km.standardised:polySE_Winds.standardiseddegreeEQ21,-8.431492086121231,4.582316956033382
b_dists_km.standardised:polySE_Winds.standardiseddegreeEQ22,6.054775674633913,5.89415265267745
b_SE_Winds.standardised:NE_Winds.standardised,0.02998390345550741,0.09322764047945309
b_dists_km.standardised:SE_Winds.standardised:NE_Winds.standardised,-0.15133940712284388,0.20936419999997127
sd_Project_ID__Intercept,0.4062234353482471,0.23687485422747256
shape,0.5867365684799408,0.01970872632113111
hu,0.1508314269943864,0.009234343093915789
"r_Project_ID[P10,Intercept]",0.32570030184969445,0.3149985620028456
"r_Project_ID[P11,Intercept]",0.3740959000150223,0.38793321169071737
"r_Project_ID[P12_PH,Intercept]",0.03834226500776397,0.2542292865615777
"r_Project_ID[P3,Intercept]",-0.356352596985146,0.22175451543084373
"r_Project_ID[P4,Intercept]",-0.3301486967686674,0.2332084176881745
"r_Project_ID[P6,Intercept]",-0.06402448410910183,0.23433760687726393
"r_Project_ID[P8,Intercept]",0.02306450836683771,0.28431046397681037
